Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191023|AVUS|0|0|268|A
20200305|AVUS|100|0|100|A
20200319|AVUS|100|0|100|A
20200415|AVUS|100|0|100|A
20200429|AVUS|0|0|100|A
20200501|AVUS|0|0|100|A
20210119|AVUS|100|0|100|A
20210120|AVUS|200|0|200|A
20210121|AVUS|400|0|400|A
20210202|AVUS|400|0|400|A
20210210|AVUS|360|0|660|A
20210226|AVUS|100|0|100|A
20210304|AVUS|300|0|300|A
20210316|AVUS|100|0|200|A
20210318|AVUS|100|0|100|A
20210414|AVUS|1000|0|1300|A
20210422|AVUS|501|0|501|A
20210507|AVUS|100|0|100|A
20210512|AVUS|0|0|100|A
20210528|AVUS|0|0|100|A
20210624|AVUS|100|0|100|A
20210304|BUZZ|789|51|1388|A
20210305|BUZZ|1015|503|1056|A
20210308|BUZZ|74|21|195|A
20210309|BUZZ|218|0|359|A
20210310|BUZZ|337|100|411|A
20210311|BUZZ|121|0|130|A
20210312|BUZZ|1311|1000|1650|A
20210315|BUZZ|20|20|70|A
20210316|BUZZ|7|0|7|A
20210317|BUZZ|25|0|30|A
20210318|BUZZ|50|0|50|A
20210319|BUZZ|101|100|101|A
20210323|BUZZ|0|0|400|A
20210324|BUZZ|900|0|5700|A
20210326|BUZZ|0|0|68|A
20210329|BUZZ|0|0|100|A
20210330|BUZZ|300|0|300|A
20210331|BUZZ|0|0|283|A
20210405|BUZZ|768|154|938|A
20210406|BUZZ|100|0|100|A
20210407|BUZZ|0|0|21|A
20210408|BUZZ|7|0|131|A
20210409|BUZZ|1|0|93|A
20210412|BUZZ|0|0|100|A
20210413|BUZZ|200|0|300|A
20210414|BUZZ|1251|0|1587|A
20210415|BUZZ|1101|0|1601|A
20210416|BUZZ|100|0|670|A
20210419|BUZZ|4|0|599|A
20210420|BUZZ|200|0|600|A
20210422|BUZZ|0|0|331|A
20210423|BUZZ|0|0|500|A
20210426|BUZZ|0|0|200|A
20210428|BUZZ|229|0|252|A
20210429|BUZZ|175|0|585|A
20210430|BUZZ|0|0|127|A
20210503|BUZZ|200|0|207|A
20210504|BUZZ|0|0|850|A
20210505|BUZZ|0|0|15|A
20210506|BUZZ|100|0|1100|A
20210507|BUZZ|544|0|828|A
20210511|BUZZ|1233|0|1633|A
20210513|BUZZ|100|0|108|A
20210517|BUZZ|160|0|348|A
20210519|BUZZ|1022|0|1022|A
20210520|BUZZ|313|0|572|A
20210521|BUZZ|300|0|300|A
20210526|BUZZ|0|0|100|A
20210527|BUZZ|400|0|400|A
20210528|BUZZ|100|0|100|A
20210601|BUZZ|900|0|945|A
20210602|BUZZ|1208|107|2503|A
20210603|BUZZ|209|0|648|A
20210604|BUZZ|642|222|1016|A
20210607|BUZZ|2700|0|3354|A
20210608|BUZZ|607|7|818|A
20210609|BUZZ|500|0|835|A
20210610|BUZZ|400|0|2100|A
20210611|BUZZ|200|0|200|A
20210614|BUZZ|200|0|378|A
20210615|BUZZ|200|0|384|A
20210616|BUZZ|300|0|900|A
20210617|BUZZ|333|0|333|A
20210618|BUZZ|0|0|12|A
20210621|BUZZ|330|0|406|A
20210622|BUZZ|800|0|802|A
20210623|BUZZ|250|0|650|A
20210624|BUZZ|0|0|1|A
20210625|BUZZ|253|40|353|A
20210629|BUZZ|200|0|305|A
20210630|BUZZ|216|0|406|A
20210701|BUZZ|200|0|260|A
20210702|BUZZ|101|0|256|A
20210707|BUZZ|124|20|424|A
20210708|BUZZ|605|5|875|A
20210709|BUZZ|310|0|326|A
20210712|BUZZ|388|186|388|A
20210713|BUZZ|144|144|244|A
20210714|BUZZ|100|0|300|A
20210715|BUZZ|800|800|900|A
20210716|BUZZ|375|0|883|A
20201229|DFAU|100|0|100|A
20210111|DFAU|1400|0|1400|A
20210112|DFAU|1700|0|1700|A
20210113|DFAU|2678|0|2678|A
20210114|DFAU|3913|0|3913|A
20210115|DFAU|3367|0|3367|A
20210119|DFAU|2078|0|2078|A
20210120|DFAU|2153|0|2153|A
20210121|DFAU|2015|0|2015|A
20210122|DFAU|100|0|100|A
20210125|DFAU|490|0|490|A
20210126|DFAU|100|0|100|A
20210129|DFAU|100|0|100|A
20210201|DFAU|200|0|200|A
20210202|DFAU|200|0|200|A
20210204|DFAU|20|0|20|A
20210208|DFAU|500|0|500|A
20210209|DFAU|200|0|200|A
20210210|DFAU|565|0|565|A
20210212|DFAU|100|0|100|A
20210216|DFAU|100|0|100|A
20210217|DFAU|200|0|600|A
20210218|DFAU|400|0|400|A
20210225|DFAU|100|0|100|A
20210226|DFAU|828|0|828|A
20210301|DFAU|400|0|400|A
20210303|DFAU|200|0|200|A
20210305|DFAU|250|0|250|A
20210309|DFAU|388|0|388|A
20210311|DFAU|496|0|596|A
20210312|DFAU|300|0|400|A
20210315|DFAU|100|0|100|A
20210316|DFAU|300|0|300|A
20210317|DFAU|825|0|825|A
20210318|DFAU|201|0|201|A
20210319|DFAU|421|0|421|A
20210322|DFAU|200|0|200|A
20210323|DFAU|375|0|375|A
20210325|DFAU|550|0|568|A
20210326|DFAU|358|0|358|A
20210329|DFAU|343|0|343|A
20210331|DFAU|200|0|200|A
20210401|DFAU|700|0|700|A
20210406|DFAU|700|0|700|A
20210407|DFAU|148|0|148|A
20210408|DFAU|120|0|120|A
20210409|DFAU|200|0|200|A
20210412|DFAU|209|0|209|A
20210413|DFAU|1600|0|1700|A
20210414|DFAU|200|0|200|A
20210415|DFAU|410|0|610|A
20210416|DFAU|481|0|1000|A
20210419|DFAU|0|0|100|A
20210420|DFAU|25|0|25|A
20210421|DFAU|100|0|200|A
20210422|DFAU|100|0|100|A
20210427|DFAU|300|0|300|A
20210428|DFAU|200|0|200|A
20210429|DFAU|100|0|100|A
20210430|DFAU|130|0|130|A
20210503|DFAU|150|0|150|A
20210505|DFAU|300|0|300|A
20210506|DFAU|51|0|51|A
20210507|DFAU|200|0|200|A
20210510|DFAU|204|0|204|A
20210511|DFAU|200|0|200|A
20210512|DFAU|0|0|215|A
20210513|DFAU|550|0|650|A
20210514|DFAU|1213|0|1524|A
20210517|DFAU|100|0|100|A
