Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20190926|AVUS|0|0|5288|P
20190927|AVUS|0|0|1000|P
20191001|AVUS|0|0|2600|P
20191002|AVUS|0|0|100|P
20191003|AVUS|0|0|900|P
20191004|AVUS|0|0|200|P
20191008|AVUS|150|0|450|P
20191009|AVUS|17640|0|19740|P
20191010|AVUS|100|0|3290|P
20191011|AVUS|138|0|760|P
20191014|AVUS|200|0|700|P
20191015|AVUS|0|0|500|P
20191016|AVUS|250|0|350|P
20191017|AVUS|1292|0|2092|P
20191018|AVUS|0|0|300|P
20191021|AVUS|1000|0|1100|P
20191022|AVUS|0|0|200|P
20191023|AVUS|600|0|14300|P
20191024|AVUS|100|0|800|P
20191025|AVUS|0|0|400|P
20191028|AVUS|200|0|2500|P
20191029|AVUS|2700|0|8206|P
20191030|AVUS|542|0|942|P
20191031|AVUS|0|0|900|P
20191101|AVUS|1188|0|2288|P
20191104|AVUS|2136|0|2736|P
20191105|AVUS|0|0|400|P
20191106|AVUS|100|0|400|P
20191107|AVUS|1031|0|1631|P
20191108|AVUS|300|0|1600|P
20191111|AVUS|0|0|400|P
20191112|AVUS|0|0|400|P
20191113|AVUS|200|0|800|P
20191114|AVUS|100|0|700|P
20191115|AVUS|100|0|1200|P
20191118|AVUS|0|0|3300|P
20191119|AVUS|950|0|1150|P
20191120|AVUS|100|0|200|P
20191121|AVUS|300|0|800|P
20191122|AVUS|100|0|100|P
20191125|AVUS|0|0|200|P
20191126|AVUS|200|0|500|P
20191127|AVUS|0|0|100|P
20191129|AVUS|2200|0|2400|P
20191202|AVUS|0|0|800|P
20191203|AVUS|100|0|600|P
20191204|AVUS|200|0|1200|P
20191205|AVUS|0|0|500|P
20191206|AVUS|0|0|100|P
20191209|AVUS|100|0|200|P
20191210|AVUS|200|0|900|P
20191211|AVUS|100|0|200|P
20191212|AVUS|2045|0|3245|P
20191213|AVUS|400|0|1200|P
20191216|AVUS|1600|0|3228|P
20191218|AVUS|0|0|2500|P
20191219|AVUS|100|0|100|P
20191220|AVUS|200|0|1400|P
20191223|AVUS|0|0|200|P
20191224|AVUS|130|0|530|P
20191226|AVUS|0|0|800|P
20191227|AVUS|2350|0|6150|P
20191230|AVUS|2499|0|5799|P
20191231|AVUS|548|0|2889|P
20200102|AVUS|2700|0|3625|P
20200103|AVUS|100|0|1800|P
20200106|AVUS|200|0|1503|P
20200107|AVUS|0|0|1100|P
20200108|AVUS|762|0|6275|P
20200109|AVUS|300|0|600|P
20200110|AVUS|1800|0|2013|P
20200113|AVUS|3491|0|3491|P
20200114|AVUS|1425|0|1735|P
20200115|AVUS|0|0|744|P
20200116|AVUS|1400|0|5570|P
20200117|AVUS|585|0|1800|P
20200121|AVUS|415|0|3134|P
20200122|AVUS|200|0|1500|P
20200123|AVUS|4000|0|8149|P
20200124|AVUS|1300|0|4071|P
20200127|AVUS|105|0|1589|P
20200128|AVUS|200|0|1982|P
20200129|AVUS|221|0|2400|P
20200130|AVUS|521|0|10950|P
20200131|AVUS|7376|0|21712|P
20200203|AVUS|10100|0|10400|P
20200204|AVUS|2545|0|3827|P
20200205|AVUS|0|0|2835|P
20200206|AVUS|139|0|7790|P
20200207|AVUS|300|0|7493|P
20200210|AVUS|1128|0|9326|P
20200211|AVUS|609|0|1080|P
20200212|AVUS|1116|0|4775|P
20200213|AVUS|410|0|2602|P
20200214|AVUS|18930|0|23840|P
20200218|AVUS|656|0|4220|P
20200219|AVUS|9466|1|13477|P
20200220|AVUS|18382|0|20813|P
20200221|AVUS|10478|0|10678|P
20200224|AVUS|8844|0|8944|P
20200225|AVUS|9067|0|9067|P
20200226|AVUS|2806|0|3106|P
20200227|AVUS|24411|3000|25564|P
20200228|AVUS|53688|0|55188|P
20200302|AVUS|21227|0|29928|P
20200303|AVUS|8727|200|9379|P
20200304|AVUS|6421|0|6421|P
20200305|AVUS|32179|0|32221|P
20200306|AVUS|22674|0|23314|P
20200309|AVUS|19721|0|27118|P
20200310|AVUS|37840|0|54349|P
20200311|AVUS|9298|200|9928|P
20200312|AVUS|5639|0|23425|P
20200313|AVUS|18271|0|22853|P
20200316|AVUS|21179|0|21679|P
20200317|AVUS|42023|0|69140|P
20200318|AVUS|62609|0|65686|P
20200319|AVUS|50724|0|56272|P
20200320|AVUS|52309|0|61797|P
20200323|AVUS|52036|0|68136|P
20200324|AVUS|89891|800|102214|P
20200325|AVUS|91207|0|101473|P
20200326|AVUS|90776|0|99854|P
20200327|AVUS|103994|0|118529|P
20200330|AVUS|7913|0|21867|P
20200331|AVUS|23474|0|27268|P
20200401|AVUS|28174|0|29963|P
20200402|AVUS|32551|0|35420|P
20200403|AVUS|56483|0|77235|P
20200406|AVUS|1066|0|9971|P
20200407|AVUS|5918|0|49476|P
20200408|AVUS|6254|0|14121|P
20200409|AVUS|38372|0|40994|P
20200413|AVUS|14160|0|14419|P
20200414|AVUS|14919|0|18853|P
20200415|AVUS|16950|0|20011|P
20200416|AVUS|39947|0|43293|P
20200417|AVUS|6035|69|6359|P
20200420|AVUS|41203|1200|42104|P
20200421|AVUS|16306|1600|16739|P
20200422|AVUS|12678|2|13158|P
20200423|AVUS|1250|0|15442|P
20200424|AVUS|7083|0|8385|P
20200427|AVUS|16475|4200|18380|P
20200428|AVUS|10971|0|12844|P
20200429|AVUS|5976|0|5977|P
20200430|AVUS|11664|0|12346|P
20200501|AVUS|49451|0|55209|P
20200504|AVUS|11093|0|11444|P
20200505|AVUS|12660|5581|12919|P
20200506|AVUS|6187|0|6187|P
20200507|AVUS|12147|3000|12247|P
20200508|AVUS|10905|0|10999|P
20200511|AVUS|5882|3200|6042|P
20200512|AVUS|12155|0|32758|P
20200513|AVUS|55836|0|56739|P
20200514|AVUS|9463|0|10270|P
20200515|AVUS|34521|0|35347|P
20200518|AVUS|17643|3201|17643|P
20200519|AVUS|6776|0|6782|P
20200520|AVUS|18557|0|18587|P
20200521|AVUS|55937|0|60022|P
20200522|AVUS|76612|0|76879|P
20200526|AVUS|6077|0|6077|P
20200527|AVUS|31495|0|31499|P
20200528|AVUS|8202|0|9126|P
20200529|AVUS|12557|0|13495|P
20200601|AVUS|26501|0|26504|P
20200602|AVUS|32137|0|35547|P
20200603|AVUS|25315|0|25315|P
20200604|AVUS|37861|0|42771|P
20200605|AVUS|60912|0|77995|P
20200608|AVUS|6016|0|7831|P
