Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20210413|BUZZ|0|0|91000|M
20200210|DMRS|105|0|105|M
20200211|DMRS|235|0|436|M
20200212|DMRS|24|0|24|M
20200219|DMRS|11|0|11|M
20200220|DMRS|6|0|6|M
20200302|DMRS|36|0|36|M
20200323|DMRS|18|0|18|M
20201215|DMRS|3|0|3|M
20201216|DMRS|9|0|14|M
20201217|DMRS|1|0|1|M
20201218|DMRS|9|0|9|M
20201221|DMRS|4|0|4|M
20201222|DMRS|4|0|4|M
20201223|DMRS|10|0|10|M
20201230|DMRS|8|0|10|M
20201231|DMRS|1|0|1|M
20210104|DMRS|3|0|3|M
20210106|DMRS|1|0|1|M
20210108|DMRS|5|0|6|M
20210114|DMRS|2|0|2|M
20210120|DMRS|1|0|1|M
20210121|DMRS|1|0|1|M
20210202|DMRS|2|0|2|M
20210218|DMRS|21|0|21|M
20210224|DMRS|12|0|12|M
20210225|DMRS|2|0|2|M
20210301|DMRS|15|0|39|M
20210302|DMRS|0|0|4|M
20210308|DMRS|2|0|2|M
20210311|DMRS|1|0|1|M
20210316|DMRS|1|0|1|M
20210317|DMRS|2|0|2|M
20210322|DMRS|5|0|7|M
20210323|DMRS|2|0|2|M
20210409|DMRS|1|0|1|M
20210422|DMRS|6|0|6|M
20210423|DMRS|2|0|2|M
20210517|DMRS|1|0|1|M
20210526|DMRS|13|0|13|M
20210527|DMRS|9|0|9|M
20210602|DMRS|8|0|8|M
20210604|DMRS|14|0|14|M
20210607|DMRS|10|0|10|M
20210608|DMRS|14|0|14|M
20210609|DMRS|5|0|5|M
20210610|DMRS|5|0|5|M
20210611|DMRS|4|0|4|M
20210614|DMRS|49|0|53|M
20210615|DMRS|26|0|41|M
20210616|DMRS|8|0|8|M
20210617|DMRS|10|0|10|M
20210618|DMRS|3|0|3|M
20210621|DMRS|2|0|2|M
20210622|DMRS|5|0|5|M
20210623|DMRS|1|0|1|M
20210624|DMRS|11|0|56|M
20210625|DMRS|2|0|2|M
20210628|DMRS|9|0|9|M
20210629|DMRS|2|0|2|M
20210630|DMRS|4|0|4|M
20210701|DMRS|1|0|1|M
20210702|DMRS|2|0|2|M
20210715|DMRS|12|0|12|M
20200311|DSI|400|0|400|M
20200313|DSI|0|0|1|M
20200601|DSI|0|0|235|M
20201113|DSI|75|0|75|M
20210115|DSI|400|0|500|M
20210121|DSI|100|0|102|M
20210122|DSI|1|0|1|M
20210205|DSI|2|0|2|M
20200828|EWSC|0|0|200|M
20200818|FDIS|2|0|2|M
20210113|FDIS|4|0|5|M
20200325|FNDX|150|0|150|M
20200327|FNDX|70|0|70|M
20200330|FNDX|600|300|600|M
20200331|FNDX|300|300|300|M
20200401|FNDX|100|100|1000|M
20200427|FNDX|0|0|300|M
20200512|FNDX|300|0|300|M
20200529|FNDX|100|0|100|M
20200608|FNDX|100|0|100|M
20200622|FNDX|100|0|200|M
20200623|FNDX|628|0|2156|M
20200625|FNDX|100|0|100|M
20200807|FNDX|0|0|3|M
20210128|FNDX|0|0|190|M
20200109|GAMR|100|0|200|M
20200513|GAMR|0|0|116|M
20200623|GAMR|0|0|1|M
20210127|GAMR|0|0|80|M
20210128|GAMR|0|0|312|M
20210224|GAMR|0|0|200|M
20210226|GAMR|200|0|200|M
20210301|GAMR|0|0|144|M
20200115|GSSC|200|0|200|M
20200228|GSSC|200|0|400|M
20210121|GSSC|0|0|200|M
20200603|HDG|0|0|1|M
20210317|HDIV|5|0|5|M
20191104|IJR|700|0|700|M
20191226|IJR|0|0|100|M
20200102|IJR|300|0|300|M
20200106|IJR|200|0|200|M
20200130|IJR|1|0|1|M
20200204|IJR|0|0|25000|M
20200228|IJR|0|0|400|M
20200325|IJR|200|0|200|M
20200406|IJR|0|0|100|M
20200408|IJR|100|0|100|M
20200409|IJR|0|0|100|M
20200414|IJR|100|0|100|M
20200416|IJR|100|0|100|M
20200417|IJR|100|0|300|M
20200421|IJR|200|0|200|M
20200505|IJR|1|0|1|M
20200511|IJR|1|0|1|M
20200514|IJR|0|0|100|M
20200518|IJR|200|0|200|M
20200520|IJR|1|0|1|M
20200608|IJR|1|0|1|M
20200612|IJR|100|0|100|M
20200625|IJR|550|0|550|M
20200629|IJR|2|0|2|M
20200701|IJR|1|0|1|M
20200722|IJR|1|0|1|M
20200805|IJR|13|0|13|M
20200813|IJR|1|0|1|M
20200814|IJR|1|0|1|M
20200819|IJR|1201|1200|1201|M
20200911|IJR|0|0|1|M
20200924|IJR|1|0|1|M
20201001|IJR|1|0|1|M
20201021|IJR|1|0|1|M
20201026|IJR|0|0|1|M
20201027|IJR|1|0|1|M
20201029|IJR|0|0|1|M
20201102|IJR|1|0|1|M
20201104|IJR|1|0|1|M
20201106|IJR|700|0|700|M
20201110|IJR|1|0|1|M
20201117|IJR|0|0|64|M
20201119|IJR|0|0|1|M
20201202|IJR|555|0|713|M
20201204|IJR|4000|0|4000|M
20201208|IJR|129|0|129|M
20201210|IJR|1|0|1|M
20201211|IJR|5|0|5|M
20201214|IJR|100|0|100|M
20201215|IJR|1|0|1|M
20201216|IJR|113|0|113|M
20201221|IJR|500|0|500|M
20201222|IJR|100|100|100|M
20201229|IJR|187|0|187|M
20210107|IJR|0|0|9|M
20210111|IJR|100|0|100|M
20210112|IJR|200|0|200|M
20210115|IJR|0|0|100|M
20210120|IJR|251|0|251|M
20210121|IJR|100|0|100|M
20210125|IJR|600|0|600|M
20210127|IJR|0|0|100|M
20210128|IJR|200|0|200|M
20210129|IJR|0|0|100|M
20210201|IJR|0|0|750|M
20210204|IJR|100|0|100|M
20210209|IJR|275|0|275|M
20210216|IJR|100|0|100|M
20210223|IJR|195|0|469|M
20210308|IJR|0|0|300|M
20210311|IJR|200|0|200|M
20210316|IJR|100|0|100|M
20210323|IJR|100|0|100|M
20210405|IJR|0|0|100|M
20210407|IJR|100|100|100|M
20210408|IJR|0|0|100|M
20210511|IJR|203|0|203|M
20210526|IJR|300|300|300|M
20210622|IJR|0|0|1|M
20210625|IJR|6|0|6|M
20210628|IJR|0|0|5|M
20210629|IJR|8|0|8|M
20210713|IJR|14|0|14|M
20210714|IJR|0|0|300|M
20210715|IJR|0|0|141|M
20191104|IJS|100|0|100|M
20191105|IJS|100|0|200|M
20191106|IJS|500|0|500|M
20191107|IJS|100|0|100|M
20191108|IJS|100|0|100|M
20200918|IJS|0|0|100|M
20201109|IJS|200|0|200|M
20210108|IJS|200|0|200|M
20210204|IJS|100|0|100|M
20210223|IJS|200|0|200|M
20210316|IJS|100|0|100|M
20210615|IJS|0|0|100|M
20210713|IJS|7|0|42|M
20201104|IJT|120|0|120|M
20210204|IJT|100|0|100|M
20210209|IJT|0|0|100|M
20210223|IJT|100|0|100|M
20210312|IJT|100|0|100|M
20191212|ITOT|500|0|500|M
