Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191009|AVUS|200|0|200|N
20191016|AVUS|100|0|100|N
20191017|AVUS|200|0|700|N
20191023|AVUS|0|0|300|N
20191028|AVUS|0|0|100|N
20191029|AVUS|230|0|330|N
20191107|AVUS|102|0|102|N
20191108|AVUS|0|0|100|N
20191112|AVUS|100|0|100|N
20191120|AVUS|0|0|100|N
20191121|AVUS|200|0|200|N
20191202|AVUS|0|0|100|N
20191211|AVUS|0|0|100|N
20191212|AVUS|0|0|100|N
20191218|AVUS|0|0|100|N
20191230|AVUS|107|0|107|N
20200121|AVUS|0|0|100|N
20200122|AVUS|0|0|100|N
20200127|AVUS|200|0|200|N
20200131|AVUS|0|0|100|N
20200206|AVUS|0|0|77|N
20200212|AVUS|100|0|100|N
20200213|AVUS|100|0|100|N
20200228|AVUS|1200|0|1500|N
20200302|AVUS|100|0|100|N
20200303|AVUS|210|0|210|N
20200309|AVUS|0|0|210|N
20200310|AVUS|300|0|300|N
20200311|AVUS|200|0|200|N
20200312|AVUS|395|0|395|N
20200316|AVUS|936|0|1136|N
20200317|AVUS|229|0|429|N
20200318|AVUS|214|0|514|N
20200319|AVUS|0|0|900|N
20200320|AVUS|200|0|220|N
20200323|AVUS|600|0|700|N
20200324|AVUS|400|0|400|N
20200325|AVUS|1700|0|1900|N
20200326|AVUS|400|0|500|N
20200327|AVUS|1950|0|1950|N
20200330|AVUS|330|0|330|N
20200331|AVUS|700|100|700|N
20200401|AVUS|100|0|100|N
20200402|AVUS|420|0|670|N
20200403|AVUS|2000|0|2700|N
20200406|AVUS|100|0|100|N
20200407|AVUS|200|0|200|N
20200408|AVUS|160|0|586|N
20200409|AVUS|200|0|200|N
20200414|AVUS|100|0|100|N
20200415|AVUS|531|0|631|N
20200416|AVUS|100|0|100|N
20200417|AVUS|500|0|500|N
20200423|AVUS|100|0|100|N
20200427|AVUS|100|0|100|N
20200428|AVUS|100|0|100|N
20200429|AVUS|100|0|100|N
20200501|AVUS|100|0|100|N
20200504|AVUS|100|0|200|N
20200505|AVUS|400|0|400|N
20200511|AVUS|100|0|100|N
20200512|AVUS|300|0|500|N
20200514|AVUS|100|0|100|N
20200515|AVUS|200|0|200|N
20200526|AVUS|100|0|100|N
20200601|AVUS|100|0|100|N
20200602|AVUS|600|0|800|N
20200604|AVUS|100|0|100|N
20200609|AVUS|880|0|880|N
20200611|AVUS|100|0|100|N
20200612|AVUS|100|0|100|N
20200615|AVUS|100|0|100|N
20200616|AVUS|100|0|100|N
20200622|AVUS|100|0|100|N
