Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191129|AVUS|300|0|600|C
20191202|AVUS|0|0|100|C
20191209|AVUS|100|0|100|C
20191213|AVUS|100|0|100|C
20191216|AVUS|100|0|100|C
20191218|AVUS|0|0|100|C
20200228|AVUS|100|0|100|C
20200416|AVUS|200|0|200|C
20200423|AVUS|100|0|3979|C
20200623|AVUS|75|0|75|C
20200721|AVUS|200|0|200|C
20200904|AVUS|300|0|300|C
20200914|AVUS|100|0|100|C
20200916|AVUS|100|0|200|C
20200924|AVUS|100|0|100|C
20201111|AVUS|100|0|100|C
20210212|AVUS|20|0|320|C
20210217|AVUS|100|0|100|C
20210301|AVUS|0|0|100|C
20210303|AVUS|200|0|200|C
20210311|AVUS|18|0|18|C
20210312|AVUS|100|0|100|C
20210315|AVUS|100|0|200|C
20210316|AVUS|0|0|110|C
20210319|AVUS|400|0|400|C
20210322|AVUS|100|0|100|C
20210323|AVUS|0|0|100|C
20210326|AVUS|65|0|65|C
20210331|AVUS|100|0|200|C
20210607|AVUS|100|0|100|C
20210618|AVUS|176|0|176|C
20210203|BBSC|100|0|100|C
20210331|BBSC|200|0|400|C
20210304|BUZZ|12080|450|14626|C
20210305|BUZZ|2312|80|2526|C
20210308|BUZZ|2|0|475|C
20210309|BUZZ|1221|0|1533|C
20210310|BUZZ|16|0|408|C
20210311|BUZZ|420|0|463|C
20210312|BUZZ|1263|0|1970|C
20210315|BUZZ|184|0|305|C
20210316|BUZZ|605|0|605|C
20210317|BUZZ|400|0|400|C
20210318|BUZZ|71|0|102|C
20210319|BUZZ|1|0|2|C
20210322|BUZZ|615|0|801|C
20210325|BUZZ|0|0|204|C
20210329|BUZZ|0|0|1|C
20210331|BUZZ|0|0|165|C
20210406|BUZZ|0|0|195|C
20210407|BUZZ|0|0|40|C
20210408|BUZZ|0|0|127|C
20210409|BUZZ|20|0|170|C
20210412|BUZZ|0|0|2909|C
20210413|BUZZ|4|0|600|C
20210414|BUZZ|0|0|4|C
20210415|BUZZ|0|0|100|C
20210419|BUZZ|1|0|61|C
20210422|BUZZ|0|0|50|C
20210423|BUZZ|0|0|1|C
20210503|BUZZ|0|0|28|C
20210504|BUZZ|0|0|124|C
20210505|BUZZ|42|0|73|C
20210506|BUZZ|0|0|1|C
20210507|BUZZ|97|0|157|C
20210510|BUZZ|435|0|489|C
20210511|BUZZ|100|0|500|C
20210512|BUZZ|0|0|10|C
20210519|BUZZ|0|0|100|C
20210520|BUZZ|24|0|123|C
20210524|BUZZ|0|0|112|C
20210525|BUZZ|2200|0|2200|C
20210526|BUZZ|2101|0|2101|C
20210527|BUZZ|80|0|80|C
20210607|BUZZ|220|0|310|C
20210609|BUZZ|321|0|321|C
20210616|BUZZ|0|0|100|C
20210628|BUZZ|100|0|100|C
20210702|BUZZ|0|0|90|C
20210706|BUZZ|0|0|80|C
20210715|BUZZ|0|0|200|C
20210716|BUZZ|2|0|2|C
20201119|DFAU|8590|0|8590|C
20201120|DFAU|13446|0|13446|C
20201123|DFAU|19433|0|19433|C
20201124|DFAU|18526|0|18526|C
20201125|DFAU|13028|0|13028|C
20201127|DFAU|5699|0|5699|C
20201130|DFAU|18378|0|18378|C
20201201|DFAU|11086|0|11086|C
20201202|DFAU|5017|0|5017|C
20201203|DFAU|23609|0|23609|C
20201204|DFAU|16412|0|16412|C
20201207|DFAU|4228|0|4228|C
20201208|DFAU|9323|0|9323|C
20201209|DFAU|13160|0|13160|C
20201210|DFAU|20717|0|20946|C
20201211|DFAU|12332|0|15652|C
20201214|DFAU|6130|0|6130|C
20201215|DFAU|8332|0|9106|C
20201216|DFAU|21005|0|21972|C
20201217|DFAU|7663|0|11168|C
20201218|DFAU|12805|0|23296|C
20201221|DFAU|5000|0|5000|C
20201222|DFAU|9926|0|9926|C
20201223|DFAU|19802|0|19922|C
20201224|DFAU|0|0|136|C
20201228|DFAU|12187|0|12187|C
20201229|DFAU|5710|0|6226|C
20201230|DFAU|2904|0|26564|C
20201231|DFAU|13239|0|16939|C
20210104|DFAU|10840|0|13083|C
20210105|DFAU|8865|0|14182|C
20210106|DFAU|0|0|8470|C
20210107|DFAU|4516|0|13816|C
20210108|DFAU|6997|0|6997|C
20210111|DFAU|2923|0|3424|C
20210112|DFAU|12110|0|15421|C
20210113|DFAU|1997|0|1997|C
20210114|DFAU|4114|0|4114|C
20210115|DFAU|4184|0|4184|C
20210119|DFAU|7307|0|7307|C
20210120|DFAU|16158|0|16158|C
20210121|DFAU|2459|0|2459|C
20210122|DFAU|17936|0|17936|C
20210125|DFAU|21615|0|21615|C
20210126|DFAU|3919|0|3919|C
20210127|DFAU|40188|0|40188|C
20210128|DFAU|6069|0|6921|C
20210129|DFAU|20323|0|20323|C
20210201|DFAU|1687|0|1687|C
20210202|DFAU|5413|0|6813|C
20210203|DFAU|2573|0|3293|C
20210204|DFAU|22522|0|22522|C
20210208|DFAU|3000|0|3000|C
20210209|DFAU|1159|0|1159|C
20210210|DFAU|8800|0|8800|C
20210211|DFAU|649|0|819|C
20210212|DFAU|1958|0|2178|C
20210216|DFAU|2871|0|3097|C
20210217|DFAU|5481|0|5781|C
20210218|DFAU|1267|0|1330|C
20210219|DFAU|6925|0|12025|C
20210222|DFAU|4242|0|4242|C
20210223|DFAU|8950|0|9554|C
20210224|DFAU|2181|0|2382|C
20210225|DFAU|7146|0|7550|C
20210226|DFAU|3218|0|4443|C
20210301|DFAU|11802|0|12202|C
20210302|DFAU|2641|0|3241|C
20210303|DFAU|16133|0|17033|C
20210304|DFAU|27467|0|33267|C
20210305|DFAU|8865|0|12115|C
20210308|DFAU|25221|0|25421|C
20210309|DFAU|11670|0|11929|C
20210310|DFAU|13325|0|14865|C
20210311|DFAU|2418|0|5826|C
20210312|DFAU|4426|0|4576|C
20210315|DFAU|24070|0|30202|C
20210316|DFAU|7177|0|7777|C
20210317|DFAU|5200|0|6720|C
20210318|DFAU|364|0|821|C
20210319|DFAU|100|0|350|C
20210322|DFAU|7828|0|8325|C
20210323|DFAU|13515|0|13515|C
20210324|DFAU|10339|0|10527|C
20210325|DFAU|4721|0|5372|C
20210326|DFAU|4230|0|7151|C
20210329|DFAU|2732|0|3232|C
20210330|DFAU|4599|0|4599|C
20210331|DFAU|184|0|227|C
20210401|DFAU|5000|0|5000|C
20210407|DFAU|10238|0|10238|C
20210408|DFAU|8689|0|10058|C
20210409|DFAU|68|0|68|C
20210412|DFAU|7522|0|7522|C
20210413|DFAU|12466|0|12466|C
20210414|DFAU|11049|0|12049|C
20210415|DFAU|12519|0|12519|C
20210416|DFAU|6063|0|6323|C
20210419|DFAU|161|0|161|C
20210420|DFAU|5000|0|5000|C
20210421|DFAU|2441|0|2441|C
20210422|DFAU|2142|0|3569|C
20210423|DFAU|2131|0|2131|C
20210426|DFAU|6645|0|6645|C
20210427|DFAU|1864|0|1864|C
20210428|DFAU|5356|0|6778|C
20210429|DFAU|9367|0|9367|C
20210430|DFAU|8651|0|8651|C
20210503|DFAU|5862|0|5862|C
20210504|DFAU|12292|0|12292|C
20210506|DFAU|188|0|188|C
20210512|DFAU|5411|0|5411|C
20210513|DFAU|300|0|300|C
20210514|DFAU|105|0|105|C
20210518|DFAU|550|0|550|C
20210519|DFAU|264|0|264|C
20210524|DFAU|132|0|132|C
20210526|DFAU|0|0|4|C
20210615|DFAU|1345|0|2749|C
20210616|DFAU|15760|0|15760|C
20210617|DFAU|2838|0|2838|C
20210618|DFAU|18994|0|19008|C
20210621|DFAU|10099|0|10099|C
20210622|DFAU|4308|0|4710|C
20210623|DFAU|3382|0|3382|C
20210624|DFAU|2594|0|2594|C
20210625|DFAU|1497|0|1497|C
20210628|DFAU|3108|0|3108|C
20210629|DFAU|2835|0|2835|C
20210630|DFAU|1302|0|1302|C
20210701|DFAU|1274|0|1274|C
20210702|DFAU|144|0|144|C
20210706|DFAU|539|0|539|C
20210707|DFAU|671|0|671|C
20210708|DFAU|5448|0|5448|C
20210709|DFAU|504|0|504|C
20210712|DFAU|3649|0|3649|C
20210713|DFAU|6504|0|6504|C
20210714|DFAU|1910|0|1910|C
20210715|DFAU|424|0|424|C
20210716|DFAU|10132|0|10132|C
20181019|DMRS|100|0|100|C
20181210|DMRS|0|0|400|C
20181219|DMRS|0|0|100|C
20181228|DMRS|0|0|400|C
20190107|DMRS|0|0|400|C
