Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20140224|DSI|143|0|143|Q
20140226|DSI|100|0|100|Q
20140314|DSI|300|0|300|Q
20140325|DSI|109|0|109|Q
20140404|DSI|100|0|100|Q
20140408|DSI|100|0|100|Q
20140424|DSI|100|0|100|Q
20140326|FAD|500|0|500|Q
20140218|FDIS|250|0|250|Q
20140313|FDIS|100|0|100|Q
20140508|FDIS|833|0|1032|Q
20140214|FEX|100|0|100|Q
20140219|FEX|220|0|220|Q
20140220|FEX|300|0|300|Q
20140221|FEX|203|0|203|Q
20140224|FEX|600|0|600|Q
20140225|FEX|2550|0|2550|Q
20140226|FEX|100|0|100|Q
20140227|FEX|400|0|400|Q
20140228|FEX|1275|0|1275|Q
20140303|FEX|500|0|500|Q
20140305|FEX|100|0|100|Q
20140306|FEX|2500|0|3100|Q
20140307|FEX|107|0|107|Q
20140311|FEX|200|0|300|Q
20140312|FEX|858|0|858|Q
20140317|FEX|825|0|825|Q
20140318|FEX|100|0|100|Q
20140325|FEX|100|0|100|Q
20140327|FEX|100|0|100|Q
20140328|FEX|293|0|293|Q
20140331|FEX|100|0|100|Q
20140401|FEX|800|0|1200|Q
20140402|FEX|300|0|300|Q
20140403|FEX|100|0|100|Q
20140404|FEX|344|0|344|Q
20140407|FEX|95|0|95|Q
20140408|FEX|1689|0|1689|Q
20140409|FEX|192|0|192|Q
20140410|FEX|159|0|159|Q
20140411|FEX|49|0|200|Q
20140416|FEX|100|0|100|Q
20140421|FEX|12|0|12|Q
20140422|FEX|100|0|100|Q
20140423|FEX|100|0|100|Q
20140424|FEX|338|0|338|Q
20140425|FEX|152|0|152|Q
20140430|FEX|400|0|620|Q
20140501|FEX|300|0|300|Q
20140502|FEX|1200|0|1200|Q
20140505|FEX|400|0|400|Q
20140506|FEX|10|0|10|Q
20140508|FEX|1918|0|1918|Q
20140417|FNDB|197|0|197|Q
20140219|FNDX|400|0|600|Q
20140227|FNDX|300|0|300|Q
20140304|FNDX|1000|0|1000|Q
20140417|FNDX|100|0|1000|Q
20140422|FNDX|18|0|18|Q
20140218|FTC|800|0|800|Q
20140221|FTC|85|0|85|Q
20140224|FTC|100|0|200|Q
20140228|FTC|300|0|554|Q
20140305|FTC|100|0|100|Q
20140320|FTC|100|0|100|Q
20140325|FTC|1|0|101|Q
20140326|FTC|100|0|100|Q
20140404|FTC|172|0|172|Q
20140408|FTC|100|0|100|Q
20140422|FTC|200|0|200|Q
20140507|FTC|100|0|100|Q
20140508|FTC|100|0|100|Q
20140424|HDG|43|0|43|Q
20140214|IJR|1215|0|1415|Q
20140218|IJR|1043|0|3398|Q
20140219|IJR|2492|0|4408|Q
20140220|IJR|3395|0|3765|Q
20140221|IJR|2007|0|2337|Q
20140224|IJR|2218|0|4207|Q
20140225|IJR|3119|0|3387|Q
20140226|IJR|2472|0|3029|Q
20140227|IJR|2233|0|4252|Q
20140228|IJR|6005|0|6365|Q
20140303|IJR|7015|0|9744|Q
20140304|IJR|6165|0|7460|Q
20140305|IJR|1442|0|2423|Q
20140306|IJR|2266|0|2267|Q
20140307|IJR|1158|0|2152|Q
20140310|IJR|1904|0|2695|Q
20140311|IJR|2832|0|3556|Q
20140312|IJR|5807|0|6978|Q
20140313|IJR|2404|100|4591|Q
20140314|IJR|1299|0|2098|Q
20140317|IJR|5190|0|6883|Q
20140318|IJR|5230|0|6168|Q
20140319|IJR|2559|0|3174|Q
20140320|IJR|1492|0|1912|Q
20140321|IJR|2211|0|3026|Q
20140324|IJR|3960|0|6319|Q
20140325|IJR|523|0|1365|Q
20140326|IJR|1357|0|2818|Q
20140327|IJR|1616|0|2215|Q
20140328|IJR|3514|0|3722|Q
20140331|IJR|1553|40|2011|Q
20140401|IJR|1270|0|4257|Q
20140402|IJR|2920|0|4479|Q
20140403|IJR|1960|0|2615|Q
20140404|IJR|2921|0|4663|Q
20140407|IJR|2010|0|2602|Q
20140408|IJR|3013|0|5204|Q
20140409|IJR|2331|0|3556|Q
20140410|IJR|1405|0|3112|Q
20140411|IJR|1766|0|4356|Q
20140414|IJR|2456|40|5498|Q
20140415|IJR|1835|0|5298|Q
20140416|IJR|2352|0|3349|Q
20140417|IJR|3869|0|6862|Q
20140421|IJR|2130|0|3786|Q
20140422|IJR|1079|0|1830|Q
20140423|IJR|1949|0|2452|Q
20140424|IJR|930|0|1475|Q
20140425|IJR|9691|0|10947|Q
20140428|IJR|1903|0|4567|Q
20140429|IJR|1728|0|2547|Q
20140430|IJR|1113|0|1800|Q
20140501|IJR|2288|0|3525|Q
20140502|IJR|825|100|1948|Q
20140505|IJR|1347|0|3444|Q
20140506|IJR|1824|0|2787|Q
20140507|IJR|1491|0|4614|Q
20140508|IJR|1421|0|2724|Q
20140219|IJS|20|0|266|Q
20140221|IJS|100|0|473|Q
20140224|IJS|19|0|299|Q
20140226|IJS|100|0|142|Q
20140227|IJS|107|0|829|Q
20140228|IJS|20|0|20|Q
20140303|IJS|1014|0|3765|Q
20140304|IJS|121|0|341|Q
20140305|IJS|399|0|628|Q
20140306|IJS|442|0|542|Q
20140307|IJS|76|0|367|Q
20140311|IJS|500|0|602|Q
20140312|IJS|393|0|476|Q
20140313|IJS|200|0|295|Q
20140317|IJS|203|0|203|Q
20140318|IJS|253|0|991|Q
20140319|IJS|142|0|342|Q
20140320|IJS|333|0|560|Q
20140321|IJS|420|0|420|Q
20140324|IJS|431|0|632|Q
20140325|IJS|3952|0|4252|Q
20140326|IJS|7|0|7|Q
20140328|IJS|206|0|937|Q
