Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20140513|DSI|25|0|25|D
20140602|DSI|200|0|200|D
20140616|DSI|100|0|100|D
20140617|DSI|300|0|300|D
20140702|DSI|258|0|258|D
20140708|DSI|650|0|650|D
20140731|DSI|100|0|100|D
20140812|DSI|100|0|100|D
20140828|DSI|400|0|400|D
20140917|DSI|668|0|668|D
20141007|DSI|300|0|300|D
20141010|DSI|114|0|114|D
20141014|DSI|200|0|200|D
20141022|DSI|35|0|235|D
20141024|DSI|175|0|175|D
20141028|DSI|100|0|100|D
20141029|DSI|115|0|427|D
20141201|DSI|100|0|100|D
20150105|DSI|230|0|230|D
20150114|DSI|100|0|100|D
20140609|FAD|150|0|250|D
20140619|FAD|36|0|36|D
20140625|FAD|84|0|84|D
20140701|FAD|557|0|582|D
20140708|FAD|118|0|123|D
20140728|FAD|200|0|200|D
20140806|FAD|400|0|400|D
20140807|FAD|100|0|100|D
20140828|FAD|500|0|500|D
20140909|FAD|150|0|150|D
20141015|FAD|100|0|100|D
20141126|FAD|200|0|200|D
20141217|FAD|200|0|200|D
20150102|FAD|384|0|384|D
20150129|FAD|1969|0|1969|D
20140820|FDIS|500|0|789|D
20140822|FDIS|400|0|400|D
20140826|FDIS|1400|0|1400|D
20140827|FDIS|200|0|200|D
20140902|FDIS|200|0|500|D
20140924|FDIS|400|0|411|D
20140926|FDIS|1120|0|1120|D
20140930|FDIS|499|0|699|D
20141125|FDIS|100|0|100|D
20141204|FDIS|200|0|200|D
20141212|FDIS|258|0|258|D
20141215|FDIS|100|0|100|D
20141219|FDIS|200|0|800|D
20141229|FDIS|100|0|300|D
20141230|FDIS|200|0|400|D
20141231|FDIS|1488|0|1488|D
20150102|FDIS|98|0|998|D
20150105|FDIS|14|0|14|D
20150106|FDIS|2797|0|2797|D
20150107|FDIS|1156|0|1156|D
20150108|FDIS|200|0|200|D
20150109|FDIS|200|0|200|D
20150120|FDIS|600|0|801|D
20140509|FEX|723|0|1874|D
20140514|FEX|100|0|100|D
20140515|FEX|345|0|345|D
20140516|FEX|735|0|735|D
20140519|FEX|200|0|200|D
20140520|FEX|1153|0|1153|D
20140523|FEX|100|0|100|D
20140528|FEX|137|0|137|D
20140529|FEX|4|0|4|D
20140530|FEX|400|0|400|D
20140602|FEX|200|0|469|D
20140605|FEX|200|0|200|D
20140606|FEX|475|0|475|D
20140609|FEX|200|0|200|D
20140610|FEX|258|0|258|D
20140617|FEX|200|0|200|D
20140618|FEX|600|0|600|D
20140620|FEX|200|0|200|D
20140626|FEX|600|0|600|D
20140701|FEX|55|0|55|D
20140702|FEX|200|0|200|D
20140707|FEX|391|0|391|D
20140708|FEX|2200|0|2300|D
20140709|FEX|175|0|275|D
20140710|FEX|215|0|215|D
