Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20190926|AVUS|257|0|257|Q
20190927|AVUS|40|0|40|Q
20190930|AVUS|1000|0|1000|Q
20191001|AVUS|500|0|500|Q
20191003|AVUS|16884|0|16884|Q
20191004|AVUS|40500|0|40500|Q
20191007|AVUS|20|0|20|Q
20191008|AVUS|22349|0|22349|Q
20191009|AVUS|19948|0|19948|Q
20191010|AVUS|20673|0|20673|Q
20191011|AVUS|1862|0|2018|Q
20191014|AVUS|6695|0|6695|Q
20191015|AVUS|1990|0|1990|Q
20191016|AVUS|41788|0|41788|Q
20191017|AVUS|9730|0|9730|Q
20191021|AVUS|2826|0|3426|Q
20191022|AVUS|3300|0|5685|Q
20191023|AVUS|9967|0|32907|Q
20191024|AVUS|5|0|1509|Q
20191025|AVUS|68|0|1020|Q
20191028|AVUS|4009|0|6009|Q
20191029|AVUS|4757|0|7867|Q
20191030|AVUS|347|0|1987|Q
20191031|AVUS|216|0|523|Q
20191101|AVUS|7118|0|7218|Q
20191104|AVUS|10389|0|10631|Q
20191105|AVUS|1000|0|1000|Q
20191106|AVUS|10249|0|10949|Q
20191107|AVUS|1530|0|3273|Q
20191108|AVUS|6119|0|6119|Q
20191111|AVUS|61220|0|61220|Q
20191112|AVUS|8726|0|9188|Q
20191113|AVUS|11412|0|12006|Q
20191115|AVUS|2261|0|3002|Q
20191118|AVUS|10416|0|12335|Q
20191119|AVUS|2593|0|3590|Q
20191120|AVUS|200|0|5974|Q
20191121|AVUS|1572|0|3182|Q
20191125|AVUS|342|0|342|Q
20191126|AVUS|1719|0|10013|Q
20191127|AVUS|112|0|2422|Q
20191129|AVUS|100|0|3927|Q
20191202|AVUS|36468|0|60694|Q
20191203|AVUS|195|0|195|Q
20191204|AVUS|11820|0|12631|Q
20191205|AVUS|774|0|1226|Q
20191206|AVUS|770|0|1612|Q
20191209|AVUS|100|0|100|Q
20191210|AVUS|1300|0|10929|Q
20191211|AVUS|506|0|697|Q
20191212|AVUS|916|0|1102|Q
20191213|AVUS|208|0|5769|Q
20191216|AVUS|825|0|2425|Q
20191217|AVUS|2649|0|4849|Q
20191218|AVUS|816|0|21460|Q
20191219|AVUS|437|0|4747|Q
20191220|AVUS|2158|0|2690|Q
20191223|AVUS|14920|200|16450|Q
20191224|AVUS|302|0|302|Q
20191226|AVUS|952|0|952|Q
20191227|AVUS|2450|0|2650|Q
20191230|AVUS|4600|0|24551|Q
20191231|AVUS|6899|0|6899|Q
20200102|AVUS|2561|0|17761|Q
20200103|AVUS|210|0|211|Q
20200106|AVUS|1136|0|1736|Q
20200107|AVUS|5410|0|9110|Q
20200108|AVUS|2292|0|2309|Q
20200109|AVUS|1254|0|10356|Q
20200110|AVUS|4336|0|7188|Q
20200113|AVUS|1112|0|1350|Q
20200114|AVUS|2042|0|7250|Q
20200115|AVUS|594|0|594|Q
20200116|AVUS|17172|0|19756|Q
20200117|AVUS|939|0|5586|Q
20200121|AVUS|9|0|9947|Q
20200122|AVUS|222|0|17581|Q
20200123|AVUS|6547|0|12352|Q
20200124|AVUS|909|0|5935|Q
20200127|AVUS|1915|0|1915|Q
20200128|AVUS|542|0|542|Q
20200129|AVUS|710|0|714|Q
20200130|AVUS|4050|0|5250|Q
20200131|AVUS|12341|0|12741|Q
20200203|AVUS|3442|0|3642|Q
20200204|AVUS|378|0|378|Q
20200205|AVUS|602|0|1098|Q
20200206|AVUS|1818|143|3420|Q
20200207|AVUS|1865|0|15291|Q
20200210|AVUS|1010|0|3040|Q
20200211|AVUS|860|0|1010|Q
20200212|AVUS|3056|0|3086|Q
20200213|AVUS|2680|0|2680|Q
20200214|AVUS|13047|0|13839|Q
20200218|AVUS|8374|0|8397|Q
20200219|AVUS|3935|0|4959|Q
20200220|AVUS|78115|0|78121|Q
20200221|AVUS|5737|0|5737|Q
20200224|AVUS|13515|0|13857|Q
20200225|AVUS|12000|0|12248|Q
20200226|AVUS|4408|0|4558|Q
20200227|AVUS|27988|0|29254|Q
20200228|AVUS|75993|0|86721|Q
20200302|AVUS|8996|0|9096|Q
20200303|AVUS|6016|0|60897|Q
20200304|AVUS|59678|0|59768|Q
20200305|AVUS|10281|0|11382|Q
20200306|AVUS|7002|0|11631|Q
20200309|AVUS|72505|0|76585|Q
20200310|AVUS|34702|0|70077|Q
20200311|AVUS|25700|0|46994|Q
20200312|AVUS|8443|0|21187|Q
20200313|AVUS|68195|0|70991|Q
20200316|AVUS|87502|300|100552|Q
20200317|AVUS|56551|311|61589|Q
20200318|AVUS|123205|117|123646|Q
20200319|AVUS|141343|5873|145743|Q
20200320|AVUS|122984|0|126686|Q
20200323|AVUS|90081|0|98304|Q
20200324|AVUS|169351|0|197263|Q
20200325|AVUS|107686|0|112903|Q
20200326|AVUS|120971|0|124480|Q
20200327|AVUS|50034|100|56636|Q
20200330|AVUS|69742|0|107002|Q
20200331|AVUS|61842|0|91189|Q
20200401|AVUS|12024|0|24887|Q
20200402|AVUS|10776|50|14691|Q
20200403|AVUS|36594|0|55911|Q
20200406|AVUS|3562|0|8733|Q
20200407|AVUS|17389|0|45792|Q
20200408|AVUS|13296|0|17151|Q
20200409|AVUS|33056|0|35740|Q
20200413|AVUS|49142|0|54023|Q
20200414|AVUS|34521|0|50446|Q
20200415|AVUS|17908|0|28785|Q
20200416|AVUS|19609|0|23023|Q
20200417|AVUS|7619|0|8434|Q
20200420|AVUS|21592|0|32481|Q
20200421|AVUS|17400|0|81068|Q
20200422|AVUS|32778|0|34061|Q
20200423|AVUS|17225|0|18250|Q
20200424|AVUS|5832|0|7363|Q
20200427|AVUS|13011|0|19936|Q
20200428|AVUS|4903|0|20966|Q
20200429|AVUS|549|0|554|Q
20200430|AVUS|4266|100|17444|Q
20200501|AVUS|13384|0|30029|Q
20200504|AVUS|2618|0|3202|Q
20200505|AVUS|10171|0|35239|Q
20200506|AVUS|3488|0|6589|Q
20200507|AVUS|4995|0|25862|Q
20200508|AVUS|4649|0|17944|Q
20200511|AVUS|1617|0|6536|Q
20200512|AVUS|19293|0|39320|Q
20200513|AVUS|11546|17|24956|Q
20200514|AVUS|12641|0|20239|Q
20200515|AVUS|4769|0|12443|Q
20200518|AVUS|17563|0|28339|Q
20200519|AVUS|6552|0|8773|Q
20200520|AVUS|9758|0|13250|Q
20200521|AVUS|11402|0|11760|Q
20200522|AVUS|3371|0|4537|Q
20200526|AVUS|1080|0|4901|Q
20200527|AVUS|27288|0|31838|Q
20200528|AVUS|3260|0|62017|Q
20200529|AVUS|5470|0|11696|Q
20200601|AVUS|8814|0|9488|Q
20200602|AVUS|14867|0|15641|Q
20200603|AVUS|7926|0|8740|Q
20200604|AVUS|91719|0|102815|Q
20200605|AVUS|5772|0|8353|Q
20200608|AVUS|19145|0|21944|Q
20200609|AVUS|71562|0|72171|Q
20200610|AVUS|3160|0|14773|Q
20200611|AVUS|8286|0|19492|Q
20200612|AVUS|1557|0|5112|Q
20200615|AVUS|12604|0|35830|Q
20200616|AVUS|3868|0|3880|Q
20200617|AVUS|17577|0|19170|Q
20200618|AVUS|14340|0|19292|Q
20200619|AVUS|15096|0|18047|Q
20200622|AVUS|7897|0|13631|Q
20200623|AVUS|21961|0|25895|Q
20200624|AVUS|6032|0|12790|Q
20200625|AVUS|10657|0|15068|Q
20200626|AVUS|1950|0|2433|Q
20200629|AVUS|2240|0|2734|Q
20200630|AVUS|6881|0|11760|Q
20200701|AVUS|6215|0|11462|Q
20200702|AVUS|1024|0|5648|Q
20200706|AVUS|4647|0|5742|Q
20200707|AVUS|331|0|1600|Q
20200708|AVUS|4008|0|4021|Q
20200709|AVUS|5598|0|5977|Q
20200710|AVUS|872|0|1478|Q
20200713|AVUS|6391|0|7403|Q
20200714|AVUS|2109|0|2391|Q
20200715|AVUS|3161|0|3339|Q
20200716|AVUS|2212|0|4839|Q
20200717|AVUS|938|0|1174|Q
20200720|AVUS|695|0|7547|Q
20200721|AVUS|4023|0|7528|Q
20200722|AVUS|1200|0|1264|Q
20200723|AVUS|8720|0|10074|Q
20200724|AVUS|6282|0|7803|Q
20200727|AVUS|9933|0|11564|Q
20200728|AVUS|5931|0|7206|Q
20200729|AVUS|1784|0|3133|Q
20200730|AVUS|740|0|930|Q
20200731|AVUS|2777|0|3104|Q
20200803|AVUS|995|0|1985|Q
20200804|AVUS|1519|0|1782|Q
20200805|AVUS|2169|0|10121|Q
20200806|AVUS|4753|0|5539|Q
20200807|AVUS|3351|0|3747|Q
20200810|AVUS|2035|0|3132|Q
20200811|AVUS|8229|0|18275|Q
20200812|AVUS|6991|0|14844|Q
20200813|AVUS|1908|0|22804|Q
20200814|AVUS|380|0|14853|Q
20200817|AVUS|6743|0|14712|Q
20200818|AVUS|3125|0|4570|Q
20200819|AVUS|6394|0|9222|Q
20200820|AVUS|35749|0|36850|Q
20200821|AVUS|1066|0|1182|Q
20200824|AVUS|3775|0|6114|Q
20200825|AVUS|5620|0|6878|Q
20200826|AVUS|500|0|616|Q
20200827|AVUS|11003|0|11764|Q
20200828|AVUS|32072|0|32424|Q
20200831|AVUS|5037|0|5702|Q
20200901|AVUS|4996|0|7381|Q
20200902|AVUS|5270|0|6883|Q
20200903|AVUS|6257|0|6528|Q
20200904|AVUS|9721|0|10605|Q
20200908|AVUS|1840|0|2419|Q
20200909|AVUS|1664|0|2921|Q
20200910|AVUS|7066|0|17641|Q
20200911|AVUS|28827|0|29575|Q
20200914|AVUS|6092|0|11899|Q
20200915|AVUS|45760|0|48947|Q
20200916|AVUS|4373|0|4821|Q
20200917|AVUS|2996|0|10502|Q
20200918|AVUS|2005|0|8250|Q
20200921|AVUS|8568|0|12569|Q
20200922|AVUS|4322|0|6327|Q
20200923|AVUS|1734|0|4361|Q
20200924|AVUS|8336|0|20059|Q
20200925|AVUS|16680|0|16792|Q
20200928|AVUS|5349|0|6718|Q
20200929|AVUS|21794|0|22200|Q
20200930|AVUS|37436|0|40305|Q
20201001|AVUS|8240|0|13597|Q
20201002|AVUS|4117|0|7611|Q
20201005|AVUS|5657|0|8272|Q
20201006|AVUS|2507|0|4968|Q
20201007|AVUS|14129|0|14289|Q
20201008|AVUS|20603|0|21228|Q
20201009|AVUS|5707|0|7182|Q
20201012|AVUS|1969|0|3229|Q
20201013|AVUS|1434|0|7893|Q
20201014|AVUS|2792|0|4061|Q
20201015|AVUS|4737|0|11294|Q
20201016|AVUS|7197|0|9305|Q
20201019|AVUS|3232|1100|12421|Q
20201020|AVUS|828|0|4299|Q
20201021|AVUS|2382|0|8879|Q
20201022|AVUS|1420|0|4211|Q
20201023|AVUS|3913|0|5244|Q
20201026|AVUS|1031|0|2518|Q
20201027|AVUS|7752|0|10928|Q
20201028|AVUS|3715|0|5488|Q
20201029|AVUS|4710|0|6524|Q
20201030|AVUS|9093|0|9515|Q
20201102|AVUS|643|0|2554|Q
20201103|AVUS|1202|0|2927|Q
20201104|AVUS|13214|0|14313|Q
20201105|AVUS|6942|0|9549|Q
20201106|AVUS|5534|0|11574|Q
20201109|AVUS|115475|0|120502|Q
20201110|AVUS|3303|0|10596|Q
20201111|AVUS|15976|0|17378|Q
20201112|AVUS|5060|0|6078|Q
20201113|AVUS|875|0|5129|Q
20201116|AVUS|4441|0|5364|Q
20201117|AVUS|3204|0|5152|Q
20201118|AVUS|2870|0|3766|Q
20201119|AVUS|3868|0|4337|Q
20201120|AVUS|9801|0|12705|Q
20201123|AVUS|2689|0|6280|Q
20201124|AVUS|7062|0|7616|Q
20201125|AVUS|4921|0|5115|Q
20201127|AVUS|878|0|1228|Q
20201130|AVUS|9991|0|10009|Q
20201201|AVUS|7560|0|8844|Q
20201202|AVUS|10832|0|10940|Q
20201203|AVUS|10743|0|12589|Q
20201204|AVUS|7481|0|11651|Q
20201207|AVUS|6527|0|8663|Q
20201208|AVUS|13976|0|18487|Q
20201209|AVUS|23675|0|24229|Q
20201210|AVUS|17563|0|18211|Q
20201211|AVUS|9242|0|10568|Q
20201214|AVUS|8344|0|9739|Q
20201215|AVUS|10279|0|10647|Q
20201216|AVUS|28099|0|28186|Q
20201217|AVUS|4983|0|5840|Q
20201218|AVUS|39501|0|51138|Q
20201221|AVUS|2354|0|10288|Q
20201222|AVUS|4598|0|8038|Q
20201223|AVUS|6615|0|12476|Q
20201224|AVUS|2792|0|34493|Q
20201228|AVUS|45227|0|47301|Q
20201229|AVUS|10591|0|15897|Q
20201230|AVUS|6811|0|10643|Q
20201231|AVUS|65180|0|65567|Q
20210104|AVUS|17749|2|18590|Q
20210105|AVUS|19116|0|20264|Q
20210106|AVUS|30146|0|30983|Q
20210107|AVUS|27469|0|28484|Q
20210108|AVUS|4414|0|5634|Q
20210111|AVUS|2913|0|4922|Q
20210112|AVUS|10568|0|12031|Q
20210113|AVUS|43066|0|45253|Q
20210114|AVUS|36014|0|38659|Q
20210115|AVUS|3463|0|33758|Q
20210119|AVUS|4369|0|15058|Q
20210120|AVUS|9704|0|14427|Q
20210121|AVUS|11624|0|22286|Q
20210122|AVUS|19993|0|28821|Q
20210125|AVUS|8822|0|19906|Q
20210126|AVUS|9227|0|10673|Q
20210127|AVUS|25199|0|28946|Q
20210128|AVUS|26876|0|29435|Q
20210129|AVUS|65364|0|70362|Q
20210201|AVUS|34094|0|46931|Q
20210202|AVUS|6816|0|11072|Q
20210203|AVUS|38344|0|38898|Q
20210204|AVUS|107682|0|116492|Q
20210205|AVUS|11081|0|15087|Q
20210208|AVUS|14903|0|29506|Q
20210209|AVUS|31279|0|42393|Q
20210210|AVUS|19430|0|23067|Q
20210211|AVUS|15621|0|22405|Q
20210212|AVUS|29810|0|31946|Q
20210216|AVUS|39358|0|41878|Q
20210217|AVUS|4536|0|4793|Q
20210218|AVUS|13220|0|13641|Q
20210219|AVUS|14456|0|16936|Q
20210222|AVUS|18697|0|21630|Q
20210223|AVUS|29933|0|35568|Q
20210224|AVUS|10730|0|12976|Q
20210225|AVUS|14724|0|18331|Q
20210226|AVUS|12727|0|17902|Q
20210301|AVUS|10784|0|31925|Q
20210302|AVUS|6103|0|24898|Q
20210303|AVUS|21373|0|27338|Q
20210304|AVUS|803276|0|809577|Q
20210305|AVUS|15880|0|21150|Q
20210308|AVUS|1029439|0|1072491|Q
20210309|AVUS|25472|0|30151|Q
20210310|AVUS|19139|0|24625|Q
20210311|AVUS|733932|0|744151|Q
20210312|AVUS|20380|0|26282|Q
20210315|AVUS|49489|0|63679|Q
20210316|AVUS|13779|0|24537|Q
20210317|AVUS|17437|0|25497|Q
20210318|AVUS|23647|0|39049|Q
20210319|AVUS|13455|0|15383|Q
20210322|AVUS|15827|0|45892|Q
20210323|AVUS|8350|0|16968|Q
20210324|AVUS|8270|0|44519|Q
20210325|AVUS|8776|0|45977|Q
20210326|AVUS|24712|0|29156|Q
20210329|AVUS|9673|0|20477|Q
20210330|AVUS|5632|716|38644|Q
20210331|AVUS|6750|0|95432|Q
20210401|AVUS|46099|0|90379|Q
20210405|AVUS|17227|0|51555|Q
20210406|AVUS|180727|0|188378|Q
20210407|AVUS|27426|0|44629|Q
20210408|AVUS|19024|0|20576|Q
20210409|AVUS|10442|0|15088|Q
20210412|AVUS|19871|0|23337|Q
20210413|AVUS|12378|0|23926|Q
20210414|AVUS|16380|0|31787|Q
20210415|AVUS|17850|0|22315|Q
20210416|AVUS|8752|0|20671|Q
20210419|AVUS|652889|0|655915|Q
20210420|AVUS|164254|0|167790|Q
20210421|AVUS|427581|0|440279|Q
20210422|AVUS|34527|0|46041|Q
20210423|AVUS|19443|0|22135|Q
20210426|AVUS|51670|0|54293|Q
20210427|AVUS|30368|0|38589|Q
20210428|AVUS|31540|0|33196|Q
20210429|AVUS|14770|0|16307|Q
20210430|AVUS|18530|0|22039|Q
20210503|AVUS|9521|0|10779|Q
20210504|AVUS|18289|0|20381|Q
20210505|AVUS|19062|0|20865|Q
20210506|AVUS|27320|0|38149|Q
20210507|AVUS|69621|0|81158|Q
20210510|AVUS|18569|0|29889|Q
20210511|AVUS|849927|0|856428|Q
20210512|AVUS|24672|0|49502|Q
20210513|AVUS|107290|0|116816|Q
20210514|AVUS|87169|0|97685|Q
20210517|AVUS|37756|0|50041|Q
20210518|AVUS|20072|0|30656|Q
20210519|AVUS|22274|0|34086|Q
20210520|AVUS|24216|0|28120|Q
20210521|AVUS|25544|0|37959|Q
20210524|AVUS|17757|0|23206|Q
20210525|AVUS|22376|0|31812|Q
20210526|AVUS|63973|0|71598|Q
20210527|AVUS|29661|0|35897|Q
20210528|AVUS|37004|0|47410|Q
20210601|AVUS|22484|0|40877|Q
20210602|AVUS|21436|0|30826|Q
20210603|AVUS|21917|0|41718|Q
20210604|AVUS|20831|0|25266|Q
20210607|AVUS|15848|0|30958|Q
20210608|AVUS|16452|0|32290|Q
20210609|AVUS|32358|0|38445|Q
20210610|AVUS|19096|0|21201|Q
20210611|AVUS|14247|0|17583|Q
20210614|AVUS|29404|0|38560|Q
20210615|AVUS|26117|0|39428|Q
20210616|AVUS|62653|0|67516|Q
20210617|AVUS|35649|0|49241|Q
20210618|AVUS|24434|0|31164|Q
20210621|AVUS|18654|0|28352|Q
20210622|AVUS|22610|0|41550|Q
20210623|AVUS|37321|0|52649|Q
