20100104|GAMR|1000|1810|O
20100105|GAMR|500|2755|O
20100115|GAMR|1200|4800|O
20100129|GAMR|3450|6850|O
20100202|GAMR|500|1732|O
20100203|GAMR|500|625|O
20100204|GAMR|45590|49288|O
20100208|ISCB|2000|2503|O
20100218|GAMR|1000|147700|O
20100219|GAMR|152751|265802|O
20100222|GAMR|4000|20614|O
20100225|GAMR|500|1000|O
20100331|GAMR|89834|95350|O
20100408|ISCB|1000|2650|O
20100416|ISCB|400|1251|O
20100423|ISCB|200|825|O
20100505|ISCB|700|4920|O
20100510|ISCB|200|950|O
20100511|ISCB|400|1819|O
20100519|ISCB|400|1649|O
20100520|ISCB|200|11875|O
20100525|ISCB|200|3400|O
20100608|ISCB|200|4500|O
20100614|ISCB|200|4069|O
20100630|ISCB|13370|13570|O
20100720|ISCB|200|2590|O
20100723|GAMR|400|400|O
20100908|GAMR|5238|20343|O
20100922|ISCB|300|9566|O
20100924|GAMR|1000|158452|O
20101005|GAMR|5000|6000|O
20101006|ISCB|100|3000|O
20101007|GAMR|2500|6800|O
20101007|ISCB|1000|2600|O
20101011|ISCB|100|834|O
20101020|GAMR|2900|7900|O
20101112|GAMR|244|244|O
20101116|GAMR|41000|70400|O
20101206|ISCB|282|282|O
20101209|ISCB|2200|20200|O
20101210|ISCB|5000|21800|O
20110111|ISCB|1175|1175|O
20110120|ISCB|1250|1850|O
20110217|ISCB|250|1250|O
20110228|ISCB|200|0|200|O
20110324|ISCB|100|0|1000|O
20110615|ISCB|200|0|2905|O
20110707|ISCB|200|0|675|O
20110711|ISCB|141|0|841|O
20110727|GAMR|1200|0|28200|O
20110728|GAMR|29000|0|236770|O
20110729|GAMR|7000|0|9000|O
20110801|GAMR|191000|0|11806298|O
20110802|GAMR|772500|0|1121346|O
20110803|GAMR|220|0|672302|O
20110804|GAMR|100000|0|203752|O
20110805|GAMR|48866|0|778076|O
20110808|GAMR|55200|0|1493863|O
20110809|GAMR|7500|0|196600|O
20110809|PSCD|3567|0|12338|O
20110809|VTHR|1315|0|1842|O
20110809|VTWO|450|0|1096|O
20110811|GAMR|6500|0|61100|O
20110812|GAMR|5000|0|195278|O
20110815|GAMR|1000|0|131300|O
20110829|GAMR|4000|0|25000|O
20110830|ISCB|200|0|200|O
20110902|GAMR|5000|0|52000|O
20110906|GAMR|2500|0|22500|O
20110913|GAMR|5000|0|222500|O
20110926|ISCB|200|0|530|O
20111014|GAMR|20000|0|30000|O
20111025|GAMR|5000|0|158000|O
20111027|GAMR|5000|0|15000|O
20111027|ISCB|400|0|600|O
20111028|GAMR|35000|0|45000|O
20111031|GAMR|15000|0|72425|O
20111108|GAMR|83300|0|184300|O
20111109|GAMR|31760|0|31760|O
20111130|ISCB|147|0|2147|O
20111201|ISCB|600|0|5350|O
20111205|GAMR|4000|0|6000|O
20111209|ISCB|600|0|3814|O
20111219|GAMR|120|0|120|O
20111221|ISCB|125|0|225|O
20111223|ISCB|600|0|5100|O
20111227|GAMR|791|0|14396|O
20111227|ISCB|250|0|250|O
20111228|ISCB|300|0|764|O
20120119|GAMR|16000|0|36000|O
20120126|GAMR|100|0|100|O
20120131|GAMR|38100|0|82500|O
20120306|ISCB|184|0|1161|O
20120320|GAMR|135000|0|135000|O
20120326|ISCB|1500|0|3000|O
20120327|ISCB|198|0|1698|O
20120416|ISCB|2500|0|5000|O
20120508|GAMR|350000|0|561125|O
20120516|ISCB|265|0|10130|O
20120601|GAMR|25000|0|30624|O
20120604|GAMR|40000|0|40000|O
20120606|GAMR|5500|0|11876|O
20120608|GAMR|22276|0|37276|O
20120611|GAMR|13200|0|26308|O
20120612|GAMR|3158|0|8158|O
20120613|GAMR|658|0|2998|O
20120618|GAMR|9117|0|121438|O
20120619|GAMR|30000|0|141500|O
20120620|GAMR|36280|0|81280|O
20120621|GAMR|184450|0|452445|O
20120622|GAMR|34822|0|152300|O
20120625|GAMR|7800|0|24612|O
20120626|GAMR|1000|0|46550|O
20120628|GAMR|27775|0|69425|O
20120629|GAMR|785|0|9806|O
20120705|ISCB|200|0|200|O
20120709|GAMR|13100|0|30858|O
20120711|GAMR|5000|0|9991|O
20120802|GAMR|400|0|1550|O
20120813|GAMR|200|0|30890|O
20120815|GAMR|100|0|3577|O
20120816|GAMR|4500|0|4500|O
20120829|GAMR|15566|0|50766|O
20120830|ISCB|300|0|300|O
20120831|GAMR|4100|0|104216|O
20120906|ISCB|1125|0|1325|O
20120907|ISCB|200|0|1482|O
20120910|GAMR|7099|0|41400|O
20120911|GAMR|500|0|5750|O
20120912|GAMR|500|0|78904|O
20120913|GAMR|6200|0|39400|O
20120918|GAMR|6000|0|18900|O
20120920|GAMR|100|0|11900|O
20120921|ISCB|300|0|1000|O
20120926|ISCB|179|0|3334|O
20120928|GAMR|19600|0|62000|O
20121012|GAMR|5500|0|11500|O
20121016|ISCB|200|0|200|O
20121025|GAMR|5000|0|25600|O
20121026|GAMR|3900|0|8900|O
20121031|GAMR|3122|0|17000|O
20121107|ISCB|1299|0|1299|O
20121115|GAMR|1200|0|167944|O
20121116|GAMR|5000|0|8156|O
20121120|GAMR|96250|0|491980|O
20121126|GAMR|1000|0|4000|O
20121127|GAMR|10000|0|10800|O
20121218|ISCB|2500|0|2500|O
20121220|ISCB|100|0|1179|O
20121226|ISCB|100|0|1675|O
20130110|GAMR|2500|0|17650|O
20130115|GAMR|5417|0|11834|O
20130128|GAMR|3900|0|4100|O
20130205|ISCB|100|0|100|O
20130207|ISCB|100|0|100|O
20130208|GAMR|2500|0|12976|O
20130225|GAMR|2500|0|7500|O
20130228|ISCB|500|0|1100|O
20130304|ISCB|150|0|450|O
20130305|ISCB|100|0|5200|O
20130307|ISCB|2012|0|2212|O
20130308|GAMR|9300|0|9400|O
20130320|GAMR|11700|0|24100|O
20130322|GAMR|17300|0|35988|O
20130327|ISCB|100|0|100|O
20130401|GAMR|1100|0|82886|O
20130404|GAMR|2500|0|17355|O
20130510|GAMR|24100|0|99100|O
20130513|GAMR|29888|0|281088|O
20130516|ISCB|300|0|300|O
20130522|ISCB|1000|0|1358|O
20130530|GAMR|11000|0|13000|O
20130614|GAMR|6500|0|10758|O
20130620|ISCB|2000|0|3600|O
20130627|GAMR|10000|0|19690|O
20130712|GAMR|10000|0|10000|O
20130715|GAMR|30000|0|42884|O
20130726|GAMR|25000|0|35205|O
20130726|ISCB|5900|0|20500|O
20130807|GAMR|30000|0|93600|O
20130809|GAMR|2500|0|12000|O
20130812|GAMR|6500|0|7600|O
20130812|ISCB|200|0|6726|O
20130814|GAMR|1000|0|3750|O
20130815|GAMR|28500|0|80200|O
20130820|GAMR|1500|0|1500|O
20130821|ISCB|300|0|775|O
20130822|GAMR|13602|0|19102|O
20130823|GAMR|19070|0|113029|O
20130823|ISCB|150|0|400|O
20130830|GAMR|60000|0|316204|O
20130903|GAMR|25000|0|61000|O
20130905|GAMR|4000|0|8179|O
20130925|GAMR|10000|0|10000|O
20130926|GAMR|10000|0|32500|O
20130930|ISCB|375|0|375|O
20131007|GAMR|26200|0|26200|O
20131007|ISCB|6200|0|7164|O
20131014|GAMR|25000|0|27700|O
20131016|GAMR|1500|0|2512|O
20131105|GAMR|66000|0|94000|O
