Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191010|AVUS|0|0|2|Z
20191015|AVUS|0|0|100|Z
20191016|AVUS|0|0|100|Z
20191017|AVUS|1|0|1|Z
20191021|AVUS|500|0|500|Z
20191023|AVUS|0|0|3839|Z
20191024|AVUS|14|0|14|Z
20191028|AVUS|0|0|600|Z
20191029|AVUS|100|0|800|Z
20191030|AVUS|200|0|300|Z
20191031|AVUS|200|0|300|Z
20191101|AVUS|482|0|482|Z
20191107|AVUS|200|0|200|Z
20191112|AVUS|1|0|1|Z
20191114|AVUS|0|0|100|Z
20191118|AVUS|600|0|700|Z
20191119|AVUS|0|0|200|Z
20191120|AVUS|100|0|301|Z
20191121|AVUS|400|0|400|Z
20191127|AVUS|101|0|302|Z
20191129|AVUS|100|0|616|Z
20191202|AVUS|100|0|1099|Z
20191203|AVUS|0|0|107|Z
20191204|AVUS|100|0|100|Z
20191205|AVUS|0|0|100|Z
20191206|AVUS|0|0|202|Z
20191209|AVUS|0|0|300|Z
20191210|AVUS|100|0|100|Z
20191212|AVUS|100|0|411|Z
20191213|AVUS|200|0|449|Z
20191216|AVUS|0|0|400|Z
20191217|AVUS|0|0|440|Z
20191218|AVUS|0|0|2300|Z
20191220|AVUS|0|0|200|Z
20191223|AVUS|100|0|100|Z
20191224|AVUS|400|0|401|Z
20191226|AVUS|25|0|46|Z
20191227|AVUS|1200|0|1653|Z
20191231|AVUS|100|0|100|Z
20200102|AVUS|0|0|86|Z
20200103|AVUS|0|0|100|Z
20200106|AVUS|0|0|300|Z
20200107|AVUS|0|0|171|Z
20200108|AVUS|100|0|150|Z
20200109|AVUS|0|0|80|Z
20200110|AVUS|100|0|387|Z
20200114|AVUS|182|0|282|Z
20200115|AVUS|0|0|200|Z
20200116|AVUS|400|0|700|Z
20200117|AVUS|9|0|9|Z
20200121|AVUS|0|0|462|Z
20200122|AVUS|0|0|670|Z
20200124|AVUS|3000|0|3380|Z
20200127|AVUS|220|0|320|Z
20200128|AVUS|70|0|170|Z
20200130|AVUS|300|0|300|Z
20200131|AVUS|618|0|618|Z
20200205|AVUS|0|0|1|Z
20200206|AVUS|0|0|99|Z
20200207|AVUS|0|0|251|Z
20200212|AVUS|0|0|100|Z
20200213|AVUS|550|0|550|Z
20200218|AVUS|0|0|6|Z
20200219|AVUS|1300|0|1300|Z
20200221|AVUS|480|0|480|Z
20200224|AVUS|300|0|300|Z
20200225|AVUS|241|0|341|Z
20200227|AVUS|300|0|600|Z
20200228|AVUS|5699|0|5999|Z
20200302|AVUS|500|0|500|Z
20200303|AVUS|26|0|26|Z
20200305|AVUS|800|0|800|Z
20200309|AVUS|1890|0|2380|Z
20200310|AVUS|1065|0|1065|Z
20200311|AVUS|300|0|785|Z
20200312|AVUS|825|0|2475|Z
20200313|AVUS|742|0|1042|Z
20200316|AVUS|1200|0|1200|Z
20200317|AVUS|162|0|1281|Z
20200318|AVUS|4873|0|4973|Z
20200319|AVUS|2423|0|2890|Z
20200320|AVUS|1088|0|1288|Z
20200323|AVUS|5953|0|6353|Z
20200324|AVUS|3900|0|7500|Z
20200325|AVUS|3615|0|3915|Z
20200326|AVUS|3007|0|5674|Z
20200327|AVUS|7500|0|8100|Z
20200330|AVUS|500|0|500|Z
20200331|AVUS|741|0|2741|Z
20200401|AVUS|600|0|600|Z
20200402|AVUS|575|0|748|Z
20200403|AVUS|2627|0|3516|Z
20200406|AVUS|165|0|565|Z
20200407|AVUS|600|0|1955|Z
20200408|AVUS|100|0|100|Z
20200409|AVUS|187|0|187|Z
20200414|AVUS|222|0|222|Z
20200415|AVUS|800|0|900|Z
20200416|AVUS|870|0|870|Z
20200417|AVUS|603|0|816|Z
20200420|AVUS|100|0|698|Z
20200422|AVUS|200|0|635|Z
20200423|AVUS|301|0|701|Z
20200424|AVUS|100|0|500|Z
20200427|AVUS|363|0|963|Z
20200428|AVUS|5|0|575|Z
20200429|AVUS|100|0|100|Z
20200430|AVUS|662|0|1379|Z
20200501|AVUS|302|0|692|Z
20200504|AVUS|127|0|127|Z
20200505|AVUS|218|0|262|Z
20200507|AVUS|49|0|49|Z
20200508|AVUS|674|0|674|Z
20200511|AVUS|90|0|136|Z
20200512|AVUS|109|0|682|Z
20200513|AVUS|12766|0|12866|Z
20200514|AVUS|650|0|760|Z
20200515|AVUS|1000|0|1100|Z
20200518|AVUS|200|0|200|Z
20200519|AVUS|200|0|200|Z
20200520|AVUS|200|0|300|Z
20200521|AVUS|450|0|550|Z
20200522|AVUS|0|0|400|Z
20200526|AVUS|320|0|320|Z
20200527|AVUS|304|0|304|Z
20200528|AVUS|1525|0|1625|Z
20200529|AVUS|200|0|200|Z
20200602|AVUS|100|0|801|Z
20200604|AVUS|300|0|300|Z
20200605|AVUS|437|0|637|Z
20200608|AVUS|5159|0|5959|Z
20200609|AVUS|1304|0|1806|Z
20200610|AVUS|0|0|62|Z
20200611|AVUS|200|0|200|Z
20200612|AVUS|298|0|298|Z
20200615|AVUS|320|0|720|Z
20200616|AVUS|954|0|1454|Z
20200617|AVUS|103|0|103|Z
20200619|AVUS|0|0|100|Z
20200622|AVUS|300|0|800|Z
20200623|AVUS|1080|0|1510|Z
20200624|AVUS|150|0|350|Z
20200625|AVUS|200|0|210|Z
20200626|AVUS|673|0|673|Z
20200629|AVUS|100|0|100|Z
20200630|AVUS|927|0|1685|Z
20200701|AVUS|220|0|360|Z
20200702|AVUS|0|0|100|Z
20200707|AVUS|100|0|206|Z
20200708|AVUS|0|0|100|Z
20200709|AVUS|100|0|265|Z
20200710|AVUS|0|0|100|Z
20200713|AVUS|199|0|199|Z
20200714|AVUS|137|0|137|Z
20200716|AVUS|0|0|144|Z
20200720|AVUS|0|0|104|Z
20200721|AVUS|700|0|723|Z
20200723|AVUS|197|0|297|Z
20200727|AVUS|229|0|360|Z
20200730|AVUS|0|0|144|Z
20200810|AVUS|7850|0|8150|Z
20200811|AVUS|100|0|300|Z
20200812|AVUS|1756|0|2456|Z
20200813|AVUS|300|0|600|Z
20200817|AVUS|0|0|100|Z
20200818|AVUS|81|0|181|Z
20200819|AVUS|278|0|750|Z
20200820|AVUS|140|0|140|Z
20200821|AVUS|200|0|200|Z
20200901|AVUS|300|0|300|Z
20200903|AVUS|100|0|100|Z
20200904|AVUS|200|0|200|Z
20200908|AVUS|0|0|1|Z
20200909|AVUS|0|0|1|Z
20200910|AVUS|100|0|105|Z
20200911|AVUS|101|0|201|Z
20200914|AVUS|100|0|1700|Z
20200915|AVUS|400|0|600|Z
20200916|AVUS|100|0|100|Z
20200922|AVUS|2400|0|3918|Z
20200923|AVUS|990|0|1752|Z
20200924|AVUS|2200|0|2879|Z
20200925|AVUS|800|0|800|Z
20200928|AVUS|3650|0|3650|Z
20200929|AVUS|7892|0|11392|Z
20200930|AVUS|1557|0|3446|Z
20201001|AVUS|784|0|3348|Z
20201002|AVUS|3|0|1320|Z
20201005|AVUS|1961|0|6673|Z
20201006|AVUS|710|0|710|Z
20201007|AVUS|11516|0|11517|Z
20201008|AVUS|19176|0|19176|Z
20201009|AVUS|7653|0|7653|Z
20201012|AVUS|0|0|5780|Z
20201013|AVUS|217|0|4046|Z
20201014|AVUS|100|0|7281|Z
20201015|AVUS|0|0|5199|Z
20201016|AVUS|300|0|6305|Z
20201019|AVUS|1406|0|4735|Z
20201020|AVUS|350|0|1755|Z
20201021|AVUS|245|0|4169|Z
20201022|AVUS|1995|0|4395|Z
20201023|AVUS|12596|0|12608|Z
20201026|AVUS|2391|0|2391|Z
20201027|AVUS|4219|0|4219|Z
20201028|AVUS|2850|0|2850|Z
20201029|AVUS|1152|0|1662|Z
20201030|AVUS|6143|0|6143|Z
20201102|AVUS|2702|0|2702|Z
20201103|AVUS|3985|0|3985|Z
20201104|AVUS|1213|0|1213|Z
20201105|AVUS|4178|0|4178|Z
20201106|AVUS|3390|0|3915|Z
20201109|AVUS|4646|0|4837|Z
20201110|AVUS|100|0|2201|Z
20201111|AVUS|4212|0|4213|Z
20201112|AVUS|3123|0|3123|Z
20201113|AVUS|3541|0|3541|Z
20201116|AVUS|4524|0|4524|Z
20201117|AVUS|742|0|745|Z
20201118|AVUS|720|0|720|Z
20201119|AVUS|166|0|166|Z
20201120|AVUS|3819|0|4019|Z
20201123|AVUS|1630|0|1630|Z
20201124|AVUS|2617|0|2617|Z
20201125|AVUS|1026|0|1028|Z
20201127|AVUS|100|0|100|Z
20201130|AVUS|2290|0|2290|Z
20201201|AVUS|1559|0|1559|Z
20201202|AVUS|3722|0|3725|Z
20201203|AVUS|1257|0|1258|Z
20201204|AVUS|1964|0|1964|Z
20201207|AVUS|101|0|101|Z
20201208|AVUS|440|0|541|Z
20201209|AVUS|12095|0|12095|Z
20201210|AVUS|2867|0|2867|Z
20201211|AVUS|1177|0|1177|Z
20201214|AVUS|936|0|2162|Z
20201215|AVUS|252|0|253|Z
20201216|AVUS|306|0|308|Z
20201217|AVUS|1582|0|1682|Z
20201218|AVUS|19255|0|20146|Z
20201221|AVUS|226|0|3930|Z
20201222|AVUS|1118|0|1118|Z
20201223|AVUS|2067|0|2067|Z
20201228|AVUS|0|0|1|Z
20201229|AVUS|3080|0|3080|Z
20201230|AVUS|2890|0|2890|Z
20201231|AVUS|3183|0|3265|Z
20210104|AVUS|4137|0|4137|Z
20210105|AVUS|3487|0|3487|Z
20210106|AVUS|932|0|932|Z
20210107|AVUS|6568|0|6568|Z
20210108|AVUS|20|0|20|Z
20210111|AVUS|12862|0|12862|Z
20210112|AVUS|2500|0|2500|Z
20210113|AVUS|2700|0|2700|Z
20210114|AVUS|696|0|697|Z
20210115|AVUS|3411|0|3411|Z
20210119|AVUS|2000|0|5711|Z
20210120|AVUS|3543|0|3543|Z
20210121|AVUS|2655|0|2655|Z
20210122|AVUS|3864|0|3864|Z
20210125|AVUS|480|0|780|Z
20210126|AVUS|14092|0|14092|Z
20210127|AVUS|6491|0|6491|Z
20210128|AVUS|6927|0|6928|Z
20210129|AVUS|7016|0|7016|Z
20210201|AVUS|4734|0|4734|Z
20210202|AVUS|6575|0|6576|Z
20210203|AVUS|6609|0|6609|Z
20210204|AVUS|13612|0|13612|Z
20210205|AVUS|5503|0|5508|Z
20210208|AVUS|4301|0|4301|Z
20210209|AVUS|2267|0|2267|Z
20210210|AVUS|9842|0|9942|Z
20210211|AVUS|855|0|855|Z
20210212|AVUS|4277|0|4310|Z
20210216|AVUS|743|0|743|Z
20210217|AVUS|1185|0|1185|Z
20210218|AVUS|1536|0|1536|Z
20210219|AVUS|3715|0|3815|Z
20210222|AVUS|1024|0|1024|Z
20210223|AVUS|1133|0|1133|Z
20210224|AVUS|3299|0|3299|Z
20210225|AVUS|2079|0|2079|Z
20210226|AVUS|1187|0|1187|Z
20210301|AVUS|1014|0|1739|Z
20210302|AVUS|1695|0|1695|Z
20210303|AVUS|3028|0|3128|Z
20210304|AVUS|5961|0|5961|Z
20210305|AVUS|1988|0|1988|Z
20210308|AVUS|112035|0|112487|Z
20210309|AVUS|81777|0|81777|Z
20210310|AVUS|4450|0|4450|Z
20210311|AVUS|58625|0|58717|Z
20210312|AVUS|10445|0|10445|Z
20210315|AVUS|1334|0|1400|Z
20210316|AVUS|7470|0|9970|Z
20210317|AVUS|6183|0|6586|Z
20210318|AVUS|3789|0|3789|Z
20210319|AVUS|3421|0|3421|Z
20210322|AVUS|4387|0|4387|Z
20210323|AVUS|3991|0|4725|Z
20210324|AVUS|100|0|3152|Z
20210325|AVUS|350|0|2304|Z
20210326|AVUS|500|0|500|Z
20210329|AVUS|30|0|3555|Z
20210330|AVUS|3|0|3406|Z
20210331|AVUS|0|0|1355|Z
20210401|AVUS|2264|0|2464|Z
20210405|AVUS|2242|0|2242|Z
20210406|AVUS|663|0|663|Z
20210407|AVUS|1817|0|1817|Z
20210408|AVUS|2325|0|2325|Z
20210409|AVUS|6445|0|6466|Z
20210412|AVUS|0|0|252|Z
20210413|AVUS|439|0|439|Z
20210414|AVUS|1504|0|1504|Z
20210415|AVUS|1554|0|1559|Z
20210416|AVUS|10999|0|10999|Z
20210419|AVUS|3027|0|3027|Z
20210420|AVUS|1065|0|1065|Z
20210421|AVUS|4423|0|4423|Z
20210422|AVUS|606|0|606|Z
20210423|AVUS|964|0|964|Z
20210426|AVUS|8839|0|8881|Z
20210427|AVUS|602|0|602|Z
20210428|AVUS|3125|0|3125|Z
20210429|AVUS|4164|0|4164|Z
20210430|AVUS|327|0|327|Z
20210503|AVUS|498|0|973|Z
20210504|AVUS|1621|0|1621|Z
20210505|AVUS|3461|0|3461|Z
20210506|AVUS|2249|0|2268|Z
20210507|AVUS|11696|0|11734|Z
20210510|AVUS|1551|0|1712|Z
20210511|AVUS|6649|0|10206|Z
20210512|AVUS|3146|0|3850|Z
20210513|AVUS|4576|0|6358|Z
20210514|AVUS|744|0|766|Z
20210517|AVUS|1984|0|1987|Z
20210518|AVUS|3015|0|3116|Z
20210519|AVUS|523|0|944|Z
20210520|AVUS|1483|0|2099|Z
20210521|AVUS|1121|0|1163|Z
20210524|AVUS|1032|0|1042|Z
20210525|AVUS|4351|0|4551|Z
20210526|AVUS|5148|0|6495|Z
20210527|AVUS|7164|0|7447|Z
20210528|AVUS|5132|0|5192|Z
20210601|AVUS|3913|0|4338|Z
20210602|AVUS|7994|0|8593|Z
20210603|AVUS|2335|0|4396|Z
20210604|AVUS|4368|0|4593|Z
20210607|AVUS|518|0|616|Z
20210608|AVUS|1457|0|2960|Z
20210609|AVUS|4489|0|4492|Z
20210610|AVUS|209|0|216|Z
20210611|AVUS|1784|0|1784|Z
20210614|AVUS|562|0|662|Z
20210615|AVUS|2827|0|2993|Z
20210616|AVUS|890|0|1130|Z
20210617|AVUS|231|0|606|Z
20210618|AVUS|706|0|744|Z
20210621|AVUS|588|0|598|Z
20210622|AVUS|3595|0|4779|Z
20210623|AVUS|11381|0|11417|Z
20210624|AVUS|1382|0|2434|Z
20210625|AVUS|2234|0|3975|Z
20210628|AVUS|1925|0|2025|Z
20210629|AVUS|5746|0|5816|Z
20210630|AVUS|5431|0|5631|Z
20210701|AVUS|7425|0|7725|Z
20210702|AVUS|4003|0|4003|Z
20210706|AVUS|5796|0|5796|Z
20210707|AVUS|10727|0|10774|Z
20210708|AVUS|2788|0|3916|Z
20210709|AVUS|2949|0|3006|Z
20210712|AVUS|5118|0|5121|Z
20210713|AVUS|8|0|111|Z
20210714|AVUS|4899|0|4999|Z
20210715|AVUS|5734|0|5734|Z
20210716|AVUS|677|0|689|Z
20201203|BBSC|0|0|100|Z
20210108|BBSC|25|0|25|Z
20210219|BBSC|0|0|10|Z
20210305|BBSC|100|0|100|Z
20210309|BBSC|2200|0|2200|Z
20210317|BBSC|300|0|300|Z
20210331|BBSC|100|0|100|Z
20210401|BBSC|0|0|1880|Z
20210421|BBSC|0|0|100|Z
20210430|BBSC|100|0|100|Z
20210507|BBSC|0|0|3|Z
20210614|BBSC|86|0|86|Z
20210622|BBSC|0|0|1|Z
20210625|BBSC|0|0|1|Z
20210702|BBSC|55|0|157|Z
20210706|BBSC|130|0|153|Z
20210707|BBSC|32|0|32|Z
20210708|BBSC|75|0|75|Z
