Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191009|AVUS|800|0|800|Y
20191018|AVUS|1120|0|1120|Y
20191023|AVUS|0|0|2751|Y
20191028|AVUS|0|0|500|Y
20191029|AVUS|50|0|850|Y
20191101|AVUS|600|0|1100|Y
20191104|AVUS|500|0|500|Y
20191108|AVUS|200|0|200|Y
20191112|AVUS|200|0|200|Y
20191115|AVUS|50|0|50|Y
20191121|AVUS|0|0|600|Y
20191126|AVUS|100|0|200|Y
20191129|AVUS|0|0|284|Y
20191202|AVUS|0|0|100|Y
20191203|AVUS|0|0|100|Y
20191204|AVUS|200|0|410|Y
20191205|AVUS|0|0|100|Y
20191212|AVUS|0|0|1|Y
20191213|AVUS|0|0|122|Y
20191216|AVUS|0|0|100|Y
20191219|AVUS|130|0|130|Y
20191226|AVUS|91|0|91|Y
20191230|AVUS|101|0|101|Y
20200108|AVUS|250|0|250|Y
20200110|AVUS|20|0|60|Y
20200116|AVUS|500|0|700|Y
20200117|AVUS|222|0|222|Y
20200123|AVUS|189|0|189|Y
20200124|AVUS|100|0|400|Y
20200130|AVUS|300|0|500|Y
20200131|AVUS|600|0|600|Y
20200207|AVUS|300|0|300|Y
20200212|AVUS|100|0|100|Y
20200218|AVUS|300|0|300|Y
20200219|AVUS|300|0|600|Y
20200220|AVUS|460|0|460|Y
20200221|AVUS|100|0|100|Y
20200224|AVUS|200|0|200|Y
20200225|AVUS|100|0|100|Y
20200226|AVUS|100|0|100|Y
20200227|AVUS|100|0|100|Y
20200228|AVUS|500|0|500|Y
20200302|AVUS|80|0|80|Y
20200303|AVUS|32|0|32|Y
20200304|AVUS|200|0|200|Y
20200305|AVUS|300|0|300|Y
20200306|AVUS|0|0|13|Y
20200309|AVUS|400|0|1100|Y
20200310|AVUS|590|0|690|Y
20200311|AVUS|0|0|300|Y
20200312|AVUS|500|0|1110|Y
20200317|AVUS|100|0|700|Y
20200318|AVUS|400|0|400|Y
20200319|AVUS|4226|0|5626|Y
20200320|AVUS|386|0|686|Y
20200323|AVUS|1555|0|1555|Y
20200324|AVUS|1200|0|1300|Y
20200325|AVUS|2700|0|2700|Y
20200326|AVUS|800|0|800|Y
20200327|AVUS|200|0|309|Y
20200401|AVUS|400|0|400|Y
20200402|AVUS|447|0|447|Y
20200403|AVUS|747|0|1047|Y
20200406|AVUS|200|0|200|Y
20200407|AVUS|398|0|798|Y
20200408|AVUS|100|0|100|Y
20200409|AVUS|200|0|200|Y
20200415|AVUS|100|0|100|Y
20200416|AVUS|614|0|614|Y
20200417|AVUS|200|0|200|Y
20200421|AVUS|300|0|300|Y
20200423|AVUS|0|0|200|Y
20200424|AVUS|100|0|100|Y
20200427|AVUS|400|0|400|Y
20200501|AVUS|0|0|100|Y
20200512|AVUS|0|0|1800|Y
20200513|AVUS|100|0|200|Y
20200515|AVUS|200|0|200|Y
20200519|AVUS|100|0|100|Y
20200521|AVUS|200|0|500|Y
20200528|AVUS|1205|0|1405|Y
20200601|AVUS|0|0|100|Y
20200602|AVUS|200|0|300|Y
20200604|AVUS|100|0|100|Y
20200605|AVUS|20|0|20|Y
20200609|AVUS|1100|0|1700|Y
20200610|AVUS|0|0|100|Y
20200611|AVUS|32|0|32|Y
20200612|AVUS|0|0|100|Y
20200615|AVUS|200|0|500|Y
20200618|AVUS|200|0|300|Y
20200622|AVUS|100|0|100|Y
20200623|AVUS|1000|0|1100|Y
20200625|AVUS|200|0|200|Y
20200626|AVUS|5|0|5|Y
20200630|AVUS|40|0|40|Y
20200701|AVUS|0|0|500|Y
20200702|AVUS|0|0|100|Y
20200707|AVUS|0|0|100|Y
20200710|AVUS|200|0|200|Y
20200714|AVUS|297|0|297|Y
20200716|AVUS|266|0|466|Y
20200721|AVUS|400|0|400|Y
20200807|AVUS|100|0|100|Y
20200810|AVUS|100|0|200|Y
20200812|AVUS|400|0|400|Y
20200817|AVUS|0|0|246|Y
