Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191009|AVUS|700|0|700|J
20191014|AVUS|45|0|45|J
20191023|AVUS|0|0|1200|J
20191028|AVUS|0|0|500|J
20191029|AVUS|0|0|1226|J
20191030|AVUS|0|0|142|J
20191101|AVUS|1746|0|1746|J
20191104|AVUS|500|0|500|J
20191108|AVUS|2240|0|2240|J
20191114|AVUS|400|0|400|J
20191118|AVUS|500|0|500|J
20191120|AVUS|0|0|44|J
20191121|AVUS|497|0|1397|J
20191126|AVUS|300|0|300|J
20191127|AVUS|100|0|100|J
20191129|AVUS|300|0|804|J
20191204|AVUS|200|0|200|J
20191205|AVUS|100|0|100|J
20191209|AVUS|100|0|117|J
20191211|AVUS|50|0|50|J
20191213|AVUS|50|0|50|J
20191216|AVUS|200|0|400|J
20191218|AVUS|0|0|300|J
20191219|AVUS|0|0|100|J
20191220|AVUS|115|0|160|J
20191223|AVUS|237|0|237|J
20191226|AVUS|82|0|82|J
20191227|AVUS|152|0|969|J
20191230|AVUS|700|0|700|J
20191231|AVUS|0|0|1|J
20200106|AVUS|201|0|201|J
20200107|AVUS|0|0|129|J
20200109|AVUS|114|0|214|J
20200110|AVUS|400|0|400|J
20200116|AVUS|500|0|600|J
20200117|AVUS|322|0|522|J
20200121|AVUS|100|0|500|J
20200122|AVUS|0|0|400|J
20200123|AVUS|200|0|200|J
20200124|AVUS|100|0|100|J
20200128|AVUS|0|0|400|J
20200129|AVUS|600|0|900|J
20200130|AVUS|311|0|446|J
20200131|AVUS|421|0|521|J
20200206|AVUS|0|0|200|J
20200207|AVUS|100|0|1300|J
20200210|AVUS|100|0|620|J
20200212|AVUS|100|0|250|J
20200213|AVUS|570|0|570|J
20200214|AVUS|3843|0|3943|J
20200218|AVUS|1179|0|1795|J
20200219|AVUS|842|0|842|J
20200220|AVUS|300|0|400|J
20200221|AVUS|977|0|1077|J
20200224|AVUS|477|0|477|J
20200225|AVUS|927|0|1027|J
20200226|AVUS|300|0|300|J
20200227|AVUS|500|0|581|J
20200228|AVUS|950|0|1050|J
20200305|AVUS|2000|0|2000|J
20200306|AVUS|160|0|160|J
20200310|AVUS|100|0|100|J
20200312|AVUS|0|0|1200|J
20200313|AVUS|500|0|1000|J
20200316|AVUS|500|0|500|J
20200317|AVUS|1343|0|4377|J
20200318|AVUS|1700|0|1700|J
20200319|AVUS|6354|0|9102|J
20200320|AVUS|940|0|2060|J
20200323|AVUS|1000|0|1800|J
20200324|AVUS|802|0|2602|J
20200325|AVUS|4823|0|5182|J
20200326|AVUS|4402|0|5902|J
20200327|AVUS|5843|0|6844|J
20200330|AVUS|0|0|200|J
20200401|AVUS|590|0|726|J
20200402|AVUS|200|0|550|J
20200403|AVUS|300|0|700|J
20200406|AVUS|200|0|200|J
20200407|AVUS|66|0|66|J
20200408|AVUS|428|0|528|J
20200409|AVUS|606|0|706|J
20200416|AVUS|500|0|688|J
20200417|AVUS|500|0|700|J
20200420|AVUS|180|0|180|J
20200421|AVUS|0|0|100|J
20200423|AVUS|500|0|500|J
20200424|AVUS|200|0|201|J
20200427|AVUS|631|0|631|J
20200428|AVUS|410|0|510|J
20200429|AVUS|100|0|100|J
20200430|AVUS|256|0|270|J
20200501|AVUS|326|0|2246|J
20200504|AVUS|0|0|357|J
20200505|AVUS|209|0|487|J
20200506|AVUS|200|0|200|J
20200507|AVUS|300|0|300|J
20200508|AVUS|200|0|352|J
20200511|AVUS|200|0|200|J
20200512|AVUS|50|0|2150|J
20200513|AVUS|600|0|708|J
20200514|AVUS|83|0|83|J
20200515|AVUS|200|0|200|J
20200518|AVUS|200|0|258|J
20200519|AVUS|200|0|200|J
20200520|AVUS|415|0|415|J
20200521|AVUS|220|0|646|J
20200522|AVUS|200|0|700|J
20200526|AVUS|300|0|330|J
20200527|AVUS|102|0|299|J
20200528|AVUS|1400|0|1900|J
20200529|AVUS|0|0|470|J
20200601|AVUS|500|0|500|J
20200602|AVUS|500|0|3200|J
20200603|AVUS|200|0|200|J
20200604|AVUS|750|0|850|J
20200605|AVUS|340|0|345|J
20200608|AVUS|500|0|837|J
20200609|AVUS|1598|0|4078|J
20200610|AVUS|235|0|435|J
20200611|AVUS|600|0|941|J
20200612|AVUS|572|0|572|J
20200615|AVUS|600|0|800|J
20200616|AVUS|208|0|222|J
20200617|AVUS|398|0|498|J
20200618|AVUS|300|0|303|J
20200619|AVUS|900|0|900|J
20200622|AVUS|1200|0|1300|J
20200623|AVUS|2200|0|2550|J
20200624|AVUS|0|0|100|J
20200625|AVUS|468|0|581|J
20200626|AVUS|285|0|285|J
20200629|AVUS|200|0|452|J
20200630|AVUS|166|0|412|J
20200701|AVUS|0|0|1|J
20200702|AVUS|126|0|126|J
20200706|AVUS|100|0|100|J
20200707|AVUS|4|0|4|J
20200708|AVUS|100|0|232|J
20200709|AVUS|160|0|160|J
20200710|AVUS|61|0|187|J
20200713|AVUS|610|0|810|J
20200714|AVUS|435|0|651|J
20200715|AVUS|355|0|355|J
20200716|AVUS|456|0|856|J
20200717|AVUS|200|0|239|J
20200720|AVUS|50|0|50|J
20200721|AVUS|500|0|600|J
20200722|AVUS|5|0|105|J
20200723|AVUS|1172|0|1372|J
20200724|AVUS|455|0|455|J
20200727|AVUS|361|0|461|J
20200728|AVUS|266|0|712|J
20200729|AVUS|249|0|419|J
20200730|AVUS|100|0|300|J
20200731|AVUS|100|0|100|J
20200803|AVUS|2|0|2|J
20200804|AVUS|100|0|360|J
20200805|AVUS|200|0|200|J
20200806|AVUS|200|0|200|J
20200807|AVUS|100|0|100|J
20200812|AVUS|500|0|500|J
20200904|AVUS|100|0|100|J
20200914|AVUS|100|0|100|J
20201012|AVUS|300|0|300|J
20201014|AVUS|235|0|235|J
20201015|AVUS|0|0|43|J
20201016|AVUS|0|0|200|J
20201019|AVUS|317|0|317|J
20201021|AVUS|200|0|200|J
20201022|AVUS|0|0|125|J
20201023|AVUS|0|0|100|J
20201026|AVUS|100|0|100|J
20201027|AVUS|54|0|116|J
20201030|AVUS|100|0|100|J
20201102|AVUS|227|0|227|J
20201103|AVUS|473|0|673|J
20201104|AVUS|0|0|20|J
20201106|AVUS|0|0|183|J
20201110|AVUS|100|0|100|J
20201111|AVUS|96|0|205|J
20201112|AVUS|100|0|100|J
20201113|AVUS|145|0|145|J
20201116|AVUS|100|0|101|J
20201119|AVUS|18|0|18|J
20201120|AVUS|100|0|264|J
20201214|AVUS|100|0|100|J
20201218|AVUS|100|0|100|J
20201223|AVUS|100|0|100|J
20210106|AVUS|200|0|200|J
20210127|AVUS|200|0|200|J
20210201|AVUS|101|0|101|J
20210202|AVUS|200|0|300|J
20210203|AVUS|316|0|416|J
20210204|AVUS|669|0|915|J
20210205|AVUS|0|0|117|J
20210208|AVUS|223|0|223|J
20210209|AVUS|351|0|351|J
20210210|AVUS|470|0|570|J
20210211|AVUS|162|0|310|J
20210212|AVUS|558|0|699|J
20210216|AVUS|37|0|37|J
20210219|AVUS|100|0|100|J
20210222|AVUS|153|0|153|J
20210224|AVUS|0|0|1|J
20210225|AVUS|93|0|193|J
20210226|AVUS|200|0|200|J
20210301|AVUS|212|0|512|J
20210302|AVUS|26|0|60|J
20210304|AVUS|266|0|366|J
20210305|AVUS|585|0|585|J
20210308|AVUS|2588|0|2588|J
20210309|AVUS|83|0|83|J
20210310|AVUS|100|0|100|J
20210311|AVUS|44|0|44|J
20210312|AVUS|386|0|486|J
20210315|AVUS|100|0|200|J
20210317|AVUS|101|0|155|J
20210319|AVUS|228|0|228|J
20210322|AVUS|202|0|202|J
20210324|AVUS|300|0|306|J
20210325|AVUS|0|0|64|J
20210326|AVUS|12|0|12|J
20210329|AVUS|345|0|345|J
20210330|AVUS|183|0|283|J
20210331|AVUS|285|0|293|J
20210401|AVUS|103|0|103|J
20210406|AVUS|66|0|66|J
20210407|AVUS|100|0|100|J
20210408|AVUS|244|0|344|J
20210409|AVUS|100|0|100|J
20210412|AVUS|59|0|59|J
20210413|AVUS|99|0|99|J
20210414|AVUS|700|0|800|J
20210415|AVUS|147|0|152|J
20210416|AVUS|400|0|400|J
20210419|AVUS|193|0|193|J
20210421|AVUS|1870|0|1870|J
20210422|AVUS|701|0|701|J
20210423|AVUS|105|0|105|J
20210426|AVUS|130|0|130|J
20210427|AVUS|110|0|120|J
20210428|AVUS|406|0|417|J
20210429|AVUS|117|0|200|J
20210430|AVUS|10|0|10|J
20210503|AVUS|61|0|328|J
20210504|AVUS|601|0|601|J
20210505|AVUS|704|0|704|J
20210506|AVUS|122|0|322|J
20210507|AVUS|630|0|630|J
20210510|AVUS|200|0|200|J
20210511|AVUS|229|0|229|J
20210512|AVUS|404|0|404|J
20210513|AVUS|320|0|620|J
20210514|AVUS|652|0|654|J
20210517|AVUS|214|0|314|J
20210518|AVUS|15|0|15|J
20210519|AVUS|167|0|167|J
20210520|AVUS|0|0|100|J
20210521|AVUS|100|0|100|J
20210524|AVUS|156|0|156|J
20210525|AVUS|313|0|313|J
20210526|AVUS|400|0|400|J
20210527|AVUS|103|0|203|J
20210528|AVUS|200|0|200|J
20210601|AVUS|100|0|390|J
20210602|AVUS|200|0|200|J
20210603|AVUS|176|0|176|J
20210604|AVUS|27|0|27|J
20210607|AVUS|474|0|480|J
20210608|AVUS|413|0|721|J
20210609|AVUS|225|0|225|J
20210610|AVUS|200|0|258|J
20210611|AVUS|130|0|130|J
20210614|AVUS|46|0|146|J
20210615|AVUS|9|0|238|J
20210616|AVUS|0|0|25|J
20210617|AVUS|223|0|897|J
20210618|AVUS|826|0|1026|J
20210621|AVUS|200|0|236|J
20210622|AVUS|88|0|242|J
20210623|AVUS|400|0|804|J
20210624|AVUS|205|0|435|J
20210625|AVUS|621|0|941|J
20210628|AVUS|12|0|12|J
20210629|AVUS|360|0|360|J
20210630|AVUS|1340|0|1340|J
20210701|AVUS|18|0|118|J
20210702|AVUS|604|0|605|J
20210706|AVUS|534|0|534|J
20210707|AVUS|507|0|607|J
20210708|AVUS|210|0|410|J
20210709|AVUS|24|0|29|J
20210712|AVUS|468|0|468|J
20210713|AVUS|259|0|359|J
20210714|AVUS|51|0|273|J
20210715|AVUS|47|0|247|J
20210716|AVUS|127|0|158|J
20210331|BBSC|100|0|200|J
20210304|BUZZ|280318|0|291061|J
20210305|BUZZ|6963|0|8620|J
20210308|BUZZ|3739|0|4162|J
20210309|BUZZ|3254|0|4088|J
20210310|BUZZ|1577|0|1797|J
20210311|BUZZ|3375|0|3578|J
20210312|BUZZ|2435|0|2930|J
20210315|BUZZ|2936|0|3093|J
20210316|BUZZ|1642|0|1895|J
20210317|BUZZ|532|0|786|J
20210318|BUZZ|995|0|1078|J
20210319|BUZZ|963|0|1315|J
20210322|BUZZ|169|0|628|J
20210323|BUZZ|0|0|419|J
20210324|BUZZ|706|0|791|J
20210325|BUZZ|0|0|610|J
20210326|BUZZ|1|0|1202|J
20210329|BUZZ|0|0|1912|J
20210330|BUZZ|7|0|70|J
20210331|BUZZ|0|0|1|J
20210401|BUZZ|0|0|16|J
20210405|BUZZ|7|0|202|J
20210406|BUZZ|58|0|289|J
