Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20190930|AVUS|0|0|1200|K
20191001|AVUS|38|0|38|K
20191002|AVUS|0|0|1300|K
20191009|AVUS|3000|0|3000|K
20191010|AVUS|0|0|100|K
20191014|AVUS|31063|0|31763|K
20191015|AVUS|747|0|1347|K
20191016|AVUS|998|0|1698|K
20191017|AVUS|10096|0|10096|K
20191018|AVUS|200|0|200|K
20191021|AVUS|500|0|500|K
20191023|AVUS|0|0|13857|K
20191028|AVUS|65|0|765|K
20191029|AVUS|0|0|1050|K
20191030|AVUS|5|0|405|K
20191031|AVUS|1|0|1|K
20191101|AVUS|600|0|600|K
20191104|AVUS|577|0|977|K
20191105|AVUS|3513|0|3613|K
20191106|AVUS|5820|0|5920|K
20191107|AVUS|20|0|20|K
20191108|AVUS|400|0|400|K
20191114|AVUS|400|0|1500|K
20191118|AVUS|600|0|600|K
20191119|AVUS|100|0|200|K
20191120|AVUS|155|0|555|K
20191121|AVUS|301|0|903|K
20191129|AVUS|100|0|300|K
20191202|AVUS|100|0|400|K
20191204|AVUS|0|0|100|K
20191206|AVUS|200|0|400|K
20191210|AVUS|300|0|300|K
20191211|AVUS|1|0|1|K
20191217|AVUS|0|0|200|K
20191218|AVUS|0|0|200|K
20191224|AVUS|400|0|400|K
20191227|AVUS|200|0|496|K
20191230|AVUS|100|0|500|K
20191231|AVUS|120|0|120|K
20200106|AVUS|0|0|200|K
20200107|AVUS|100|0|1800|K
20200108|AVUS|1|0|1|K
20200109|AVUS|1160|0|1560|K
20200110|AVUS|1280|0|1280|K
20200113|AVUS|400|0|400|K
20200114|AVUS|125|0|125|K
20200115|AVUS|56|0|56|K
20200116|AVUS|0|0|300|K
20200117|AVUS|38|0|1638|K
20200121|AVUS|0|0|200|K
20200122|AVUS|0|0|200|K
20200123|AVUS|80|0|100|K
20200124|AVUS|1608|0|1608|K
20200128|AVUS|1|0|1|K
20200129|AVUS|0|0|300|K
20200130|AVUS|300|0|700|K
20200131|AVUS|400|0|700|K
20200205|AVUS|0|0|900|K
20200207|AVUS|300|0|700|K
20200210|AVUS|0|0|3264|K
20200213|AVUS|500|0|2300|K
20200214|AVUS|24|0|24|K
20200218|AVUS|100|0|2700|K
20200219|AVUS|300|0|300|K
20200225|AVUS|200|0|200|K
20200227|AVUS|170|0|170|K
20200228|AVUS|13500|0|13800|K
20200302|AVUS|400|0|800|K
20200303|AVUS|90|0|90|K
20200305|AVUS|500|0|500|K
20200306|AVUS|300|0|800|K
20200309|AVUS|1600|0|2375|K
20200310|AVUS|1168|0|1595|K
20200311|AVUS|120|0|120|K
20200312|AVUS|284|0|1733|K
20200313|AVUS|3378|0|6578|K
20200316|AVUS|2202|0|2302|K
20200317|AVUS|100|0|1513|K
20200318|AVUS|3500|0|3971|K
20200319|AVUS|1700|0|13215|K
20200320|AVUS|16798|0|21810|K
20200323|AVUS|3212|0|3512|K
20200324|AVUS|12349|0|15779|K
20200325|AVUS|301|0|1101|K
20200326|AVUS|6946|0|9257|K
20200327|AVUS|8404|0|9491|K
20200330|AVUS|937|0|937|K
20200331|AVUS|301|0|302|K
20200401|AVUS|0|0|1|K
20200402|AVUS|300|0|1000|K
20200403|AVUS|3203|0|3503|K
20200408|AVUS|85|0|185|K
20200409|AVUS|0|0|100|K
20200415|AVUS|1788|0|1789|K
20200416|AVUS|1|0|1|K
20200420|AVUS|500|0|1000|K
20200421|AVUS|500|0|500|K
20200422|AVUS|0|0|100|K
20200423|AVUS|0|0|100|K
20200424|AVUS|0|0|13800|K
20200427|AVUS|300|0|300|K
20200428|AVUS|605|0|1515|K
20200429|AVUS|100|0|580|K
20200430|AVUS|300|0|300|K
20200501|AVUS|1002|0|3402|K
20200504|AVUS|301|0|501|K
20200505|AVUS|101|0|101|K
20200511|AVUS|0|0|100|K
20200512|AVUS|300|0|2049|K
20200513|AVUS|3539|0|3688|K
20200514|AVUS|20|0|120|K
20200515|AVUS|500|0|1245|K
20200518|AVUS|101|0|101|K
20200521|AVUS|400|0|697|K
20200522|AVUS|100|0|200|K
20200526|AVUS|100|0|100|K
20200527|AVUS|34|0|34|K
20200528|AVUS|34|0|134|K
20200603|AVUS|393|0|493|K
20200604|AVUS|100|0|100|K
20200609|AVUS|301|0|801|K
20200610|AVUS|540|0|750|K
20200611|AVUS|856|0|1100|K
20200612|AVUS|161|0|197|K
20200615|AVUS|0|0|200|K
20200617|AVUS|809|0|809|K
20200619|AVUS|0|0|100|K
20200622|AVUS|0|0|400|K
20200623|AVUS|200|0|500|K
20200624|AVUS|584|0|984|K
20200626|AVUS|100|0|100|K
20200630|AVUS|100|0|100|K
20200706|AVUS|1|0|1|K
20200709|AVUS|100|0|100|K
20200710|AVUS|1|0|178|K
20200713|AVUS|0|0|21|K
20200716|AVUS|0|0|215|K
20200721|AVUS|700|0|700|K
20200722|AVUS|100|0|100|K
20200723|AVUS|0|0|100|K
20200724|AVUS|1|0|1|K
20200728|AVUS|1156|0|1156|K
20200730|AVUS|10|0|10|K
20200804|AVUS|601|0|701|K
20200806|AVUS|100|0|100|K
20200807|AVUS|500|0|500|K
20200811|AVUS|149|0|149|K
20200812|AVUS|512|0|512|K
20200814|AVUS|128|0|128|K
20200817|AVUS|0|0|300|K
20200819|AVUS|242|0|422|K
20200825|AVUS|1|0|1|K
20200901|AVUS|127|0|127|K
20200903|AVUS|2401|0|2401|K
20200904|AVUS|600|0|600|K
20200911|AVUS|238|0|238|K
20200914|AVUS|300|0|300|K
20200916|AVUS|800|0|1000|K
20200917|AVUS|0|0|600|K
20200921|AVUS|10|0|10|K
20200922|AVUS|0|0|1000|K
20200923|AVUS|133|0|133|K
20200924|AVUS|100|0|100|K
20200925|AVUS|100|0|100|K
20200928|AVUS|1|0|1|K
20201001|AVUS|166|0|166|K
20201002|AVUS|1|0|1|K
20201009|AVUS|92|0|92|K
20201012|AVUS|100|0|300|K
20201014|AVUS|1277|0|1424|K
20201015|AVUS|617|0|817|K
20201019|AVUS|1538|0|1538|K
20201021|AVUS|0|0|801|K
20201022|AVUS|100|0|100|K
20201023|AVUS|200|0|300|K
20201026|AVUS|40|0|53|K
20201027|AVUS|1|0|1|K
20201028|AVUS|39|0|39|K
20201029|AVUS|100|0|300|K
20201030|AVUS|300|0|1200|K
20201104|AVUS|444|0|444|K
20201105|AVUS|500|0|600|K
20201106|AVUS|600|0|1200|K
20201109|AVUS|100|0|100|K
20201110|AVUS|100|0|103|K
20201111|AVUS|469|0|469|K
20201112|AVUS|102|0|102|K
20201116|AVUS|0|0|1|K
20201117|AVUS|457|0|467|K
20201118|AVUS|51|0|251|K
20201119|AVUS|255|0|255|K
20201120|AVUS|111|0|126|K
20201130|AVUS|5|0|5|K
20201201|AVUS|113|0|113|K
20201203|AVUS|104|0|104|K
20201204|AVUS|74|0|75|K
20201207|AVUS|0|0|2|K
20201208|AVUS|0|0|1925|K
20201209|AVUS|8|0|1548|K
20201210|AVUS|100|0|149|K
20201211|AVUS|1616|0|1616|K
20201214|AVUS|526|0|526|K
20201215|AVUS|0|0|380|K
20201216|AVUS|1|0|1|K
20201217|AVUS|1|0|1|K
20201218|AVUS|5|0|115|K
20201221|AVUS|300|0|706|K
20201222|AVUS|1|0|1|K
20201223|AVUS|1121|0|1121|K
20201224|AVUS|57|0|57|K
20201228|AVUS|110|0|113|K
20201229|AVUS|100|0|100|K
20201230|AVUS|0|0|100|K
20201231|AVUS|0|0|18|K
20210104|AVUS|159|0|187|K
20210105|AVUS|1|0|1|K
20210106|AVUS|200|0|386|K
20210107|AVUS|153|0|153|K
20210108|AVUS|34|0|34|K
20210111|AVUS|12|0|12|K
20210112|AVUS|10|0|10|K
20210113|AVUS|466|0|466|K
20210115|AVUS|428|0|428|K
20210119|AVUS|100|0|100|K
20210120|AVUS|0|0|101|K
20210121|AVUS|200|0|301|K
20210125|AVUS|464|0|1352|K
20210127|AVUS|1394|0|1476|K
20210128|AVUS|116|0|116|K
20210129|AVUS|5866|0|5866|K
20210201|AVUS|334|0|334|K
20210203|AVUS|800|0|844|K
20210204|AVUS|0|0|4|K
20210205|AVUS|50|0|50|K
20210208|AVUS|229|0|229|K
20210209|AVUS|761|0|789|K
20210210|AVUS|507|0|607|K
20210211|AVUS|359|0|434|K
20210212|AVUS|1|0|186|K
20210216|AVUS|2087|0|2091|K
20210217|AVUS|52|0|52|K
20210218|AVUS|255|0|355|K
20210219|AVUS|148|0|148|K
20210222|AVUS|1387|0|1387|K
20210224|AVUS|101|0|222|K
20210225|AVUS|1192|0|1193|K
20210226|AVUS|3473|0|3917|K
20210301|AVUS|944|0|1197|K
20210302|AVUS|993|0|1359|K
20210303|AVUS|3900|0|4511|K
20210304|AVUS|977|0|984|K
20210305|AVUS|747|0|749|K
20210308|AVUS|4751|0|4751|K
20210309|AVUS|3|0|3|K
20210310|AVUS|23|0|24|K
20210311|AVUS|179|0|379|K
20210312|AVUS|504|0|619|K
20210315|AVUS|788|0|888|K
20210316|AVUS|1885|0|2395|K
20210317|AVUS|1190|0|1202|K
20210318|AVUS|687|0|1659|K
20210319|AVUS|649|0|649|K
20210322|AVUS|201|0|452|K
20210323|AVUS|312|0|7332|K
20210324|AVUS|0|0|175|K
20210325|AVUS|670|0|786|K
20210326|AVUS|10|0|54|K
20210329|AVUS|3576|0|4829|K
20210330|AVUS|0|0|408|K
20210331|AVUS|101|0|2738|K
20210401|AVUS|406|0|828|K
20210405|AVUS|1917|0|1917|K
20210406|AVUS|205|0|646|K
20210407|AVUS|1717|0|1922|K
20210408|AVUS|2075|0|2247|K
20210409|AVUS|1971|0|1999|K
20210412|AVUS|0|0|70|K
20210413|AVUS|1416|0|1416|K
20210414|AVUS|2128|0|2128|K
20210415|AVUS|113|0|121|K
20210416|AVUS|519|0|622|K
20210419|AVUS|301|0|326|K
20210420|AVUS|1709|0|1709|K
20210421|AVUS|3099|0|3099|K
20210422|AVUS|1913|0|1961|K
20210423|AVUS|320|0|320|K
20210426|AVUS|400|0|446|K
20210427|AVUS|304|0|710|K
20210428|AVUS|2407|0|2707|K
20210429|AVUS|963|0|963|K
20210430|AVUS|753|0|858|K
20210503|AVUS|261|0|472|K
20210504|AVUS|2108|0|2562|K
20210505|AVUS|2448|0|3505|K
20210506|AVUS|2243|0|2458|K
20210507|AVUS|5857|0|6003|K
20210510|AVUS|3259|0|4756|K
20210511|AVUS|7181|0|8615|K
20210512|AVUS|292|0|1777|K
20210513|AVUS|1096|0|3361|K
20210514|AVUS|2879|0|2921|K
20210517|AVUS|1375|0|1375|K
20210518|AVUS|1494|0|2294|K
20210519|AVUS|654|0|755|K
20210520|AVUS|1744|0|1744|K
20210521|AVUS|2686|0|2953|K
20210524|AVUS|1573|0|1583|K
20210525|AVUS|944|0|946|K
20210526|AVUS|476|0|1799|K
20210527|AVUS|2084|0|3444|K
20210528|AVUS|2167|0|2237|K
20210601|AVUS|37|0|2735|K
20210602|AVUS|980|0|4026|K
20210603|AVUS|762|0|813|K
20210604|AVUS|10|0|1001|K
20210607|AVUS|850|0|934|K
20210608|AVUS|3544|0|4478|K
20210609|AVUS|4717|0|4723|K
20210610|AVUS|1585|0|1709|K
20210611|AVUS|250|0|250|K
20210614|AVUS|1021|0|1021|K
20210615|AVUS|4|0|847|K
20210616|AVUS|40|0|537|K
20210617|AVUS|830|0|2139|K
20210618|AVUS|2132|0|2672|K
20210621|AVUS|6852|0|7248|K
20210622|AVUS|2523|0|4856|K
20210623|AVUS|718|0|1186|K
20210624|AVUS|506|0|1197|K
20210625|AVUS|303|0|6549|K
20210628|AVUS|1553|0|1657|K
20210629|AVUS|4307|0|4325|K
20210630|AVUS|5326|0|5326|K
20210701|AVUS|356|0|752|K
20210702|AVUS|797|0|797|K
20210706|AVUS|2294|0|2294|K
20210707|AVUS|7682|0|8128|K
20210708|AVUS|3258|0|3620|K
20210709|AVUS|7218|0|9265|K
20210712|AVUS|745|0|1625|K
20210713|AVUS|1478|0|1480|K
20210714|AVUS|561|0|561|K
20210715|AVUS|618|0|618|K
20210716|AVUS|3097|0|3107|K
20201201|BBSC|0|0|148|K
20210129|BBSC|1|0|1|K
20210203|BBSC|25|0|25|K
20210216|BBSC|30|0|30|K
20210225|BBSC|0|0|5|K
20210304|BBSC|0|0|40|K
20210309|BBSC|2000|0|2100|K
20210331|BBSC|100|0|100|K
20210416|BBSC|100|0|100|K
20210419|BBSC|0|0|3|K
20210429|BBSC|0|0|2|K
