Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20200305|AVUS|200|0|200|X
20200327|AVUS|0|0|100|X
20200429|AVUS|100|0|100|X
20200501|AVUS|0|0|300|X
20200609|AVUS|200|0|200|X
20200611|AVUS|100|0|100|X
20200622|AVUS|200|0|300|X
20200706|AVUS|100|0|100|X
20200721|AVUS|100|0|100|X
20200916|AVUS|0|0|100|X
20201022|AVUS|100|0|100|X
20201117|AVUS|100|0|100|X
20210119|AVUS|100|0|100|X
20210129|AVUS|100|0|100|X
20210204|AVUS|100|0|100|X
20210205|AVUS|100|0|100|X
20210211|AVUS|100|0|100|X
20210217|AVUS|100|0|100|X
20210219|AVUS|100|0|100|X
20210223|AVUS|100|0|100|X
20210225|AVUS|100|0|100|X
20210226|AVUS|100|0|100|X
20210301|AVUS|585|0|585|X
20210302|AVUS|100|0|100|X
20210303|AVUS|100|0|100|X
20210304|AVUS|200|0|200|X
20210305|AVUS|100|0|100|X
20210308|AVUS|300|0|300|X
20210309|AVUS|100|0|100|X
20210310|AVUS|100|0|100|X
20210312|AVUS|100|0|100|X
20210315|AVUS|100|0|100|X
20210318|AVUS|200|0|200|X
20210329|AVUS|100|0|100|X
20210331|AVUS|200|0|200|X
20210407|AVUS|100|0|100|X
20210408|AVUS|200|0|200|X
20210414|AVUS|100|0|100|X
20210420|AVUS|100|0|100|X
20210423|AVUS|100|0|100|X
20210427|AVUS|100|0|100|X
20210429|AVUS|200|0|200|X
20210504|AVUS|100|0|100|X
20210507|AVUS|100|0|100|X
20210510|AVUS|100|0|100|X
20210512|AVUS|100|0|100|X
20210513|AVUS|200|0|200|X
20210519|AVUS|100|0|100|X
20210527|AVUS|100|0|100|X
20210528|AVUS|100|0|100|X
20210601|AVUS|100|0|100|X
20210604|AVUS|100|0|100|X
20210625|AVUS|0|0|500|X
20210629|AVUS|400|0|400|X
20210630|AVUS|710|0|710|X
20210701|AVUS|400|0|400|X
20210702|AVUS|100|0|100|X
20210707|AVUS|100|0|100|X
20210709|AVUS|200|0|300|X
20210712|AVUS|100|0|100|X
20210713|AVUS|0|0|100|X
20210304|BUZZ|20355|0|26891|X
20210305|BUZZ|5522|0|10881|X
20210308|BUZZ|25134|0|27875|X
20210309|BUZZ|9043|0|9343|X
20210310|BUZZ|5709|0|21106|X
20210311|BUZZ|5200|0|5300|X
20210312|BUZZ|6027|0|6304|X
20210315|BUZZ|27531|0|27631|X
20210316|BUZZ|10731|0|10931|X
20210317|BUZZ|7484|0|71376|X
20210318|BUZZ|3316|0|6316|X
20210319|BUZZ|92315|0|92315|X
20210322|BUZZ|2400|0|5400|X
20210323|BUZZ|1400|0|76833|X
20210324|BUZZ|19899|0|123088|X
20210325|BUZZ|0|0|2382|X
20210326|BUZZ|8300|0|8905|X
20210329|BUZZ|0|0|100|X
20210401|BUZZ|200|0|2000|X
20210405|BUZZ|1034|0|1184|X
20210406|BUZZ|100|0|100|X
20210407|BUZZ|0|0|300|X
20210409|BUZZ|0|0|7000|X
20210412|BUZZ|100|0|100|X
20210413|BUZZ|0|0|1205|X
20210414|BUZZ|0|0|2484|X
20210415|BUZZ|1100|0|2200|X
20210416|BUZZ|2730|0|11130|X
20210419|BUZZ|0|0|18950|X
20210420|BUZZ|0|0|20997|X
20210421|BUZZ|0|0|700|X
20210426|BUZZ|1000|0|8350|X
20210427|BUZZ|350|0|350|X
20210428|BUZZ|300|0|500|X
20210429|BUZZ|300|0|1200|X
20210430|BUZZ|0|0|300|X
20210503|BUZZ|0|0|500|X
20210504|BUZZ|0|0|8738|X
20210506|BUZZ|700|0|2230|X
20210510|BUZZ|0|0|1593|X
20210511|BUZZ|500|0|500|X
20210513|BUZZ|1000|0|1000|X
20210518|BUZZ|0|0|200|X
20210519|BUZZ|200|0|300|X
20210526|BUZZ|100|0|100|X
20210527|BUZZ|100|0|100|X
20210601|BUZZ|706|0|806|X
20210602|BUZZ|100|0|100|X
20210604|BUZZ|200|0|300|X
20210607|BUZZ|0|0|6480|X
20210608|BUZZ|400|0|600|X
20210609|BUZZ|100|0|300|X
20210610|BUZZ|300|0|2600|X
20210611|BUZZ|100|0|100|X
20210614|BUZZ|100|0|100|X
20210615|BUZZ|100|0|100|X
20210616|BUZZ|0|0|300|X
20210622|BUZZ|200|0|200|X
20210623|BUZZ|200|0|300|X
20210625|BUZZ|0|0|100|X
20210628|BUZZ|200|0|400|X
20210630|BUZZ|100|0|100|X
20210701|BUZZ|200|0|300|X
20210706|BUZZ|200|0|200|X
20210707|BUZZ|100|0|300|X
20210708|BUZZ|500|0|800|X
20210709|BUZZ|0|0|600|X
20210712|BUZZ|100|0|267|X
20210713|BUZZ|0|0|200|X
20201119|DFAU|300|0|300|X
20201130|DFAU|100|0|100|X
20201202|DFAU|100|0|100|X
20201203|DFAU|200|0|200|X
20201207|DFAU|100|0|100|X
20201209|DFAU|100|0|100|X
20201222|DFAU|100|0|100|X
20201223|DFAU|277|0|277|X
20210111|DFAU|200|0|200|X
20210112|DFAU|600|0|600|X
20210113|DFAU|1200|0|1200|X
20210114|DFAU|200|0|200|X
20210115|DFAU|200|0|200|X
20210119|DFAU|300|0|300|X
20210120|DFAU|200|0|200|X
20210121|DFAU|100|0|100|X
20210122|DFAU|200|0|200|X
20210126|DFAU|300|0|300|X
20210127|DFAU|200|0|200|X
20210128|DFAU|300|0|300|X
20210129|DFAU|100|0|100|X
20210201|DFAU|100|0|100|X
20210202|DFAU|200|0|200|X
20210204|DFAU|200|0|200|X
20210208|DFAU|500|0|500|X
20210209|DFAU|200|0|200|X
20210210|DFAU|600|0|600|X
20210211|DFAU|194|0|194|X
