Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20191023|AVUS|0|0|3200|B
20191028|AVUS|0|0|1400|B
20191029|AVUS|0|0|2200|B
20191101|AVUS|500|0|500|B
20191104|AVUS|500|0|500|B
20191120|AVUS|0|0|500|B
20191126|AVUS|100|0|100|B
20191213|AVUS|100|0|100|B
20191227|AVUS|0|0|100|B
20191230|AVUS|100|0|100|B
20200116|AVUS|200|0|800|B
20200123|AVUS|100|0|100|B
20200124|AVUS|330|0|330|B
20200130|AVUS|600|0|600|B
20200131|AVUS|300|0|300|B
20200207|AVUS|300|0|300|B
20200213|AVUS|100|0|100|B
20200218|AVUS|300|0|546|B
20200219|AVUS|424|0|424|B
20200220|AVUS|300|0|300|B
20200224|AVUS|100|0|100|B
20200228|AVUS|100|0|100|B
20200305|AVUS|714|0|714|B
20200309|AVUS|200|0|700|B
20200310|AVUS|400|0|400|B
20200311|AVUS|0|0|300|B
20200312|AVUS|100|0|2500|B
20200313|AVUS|100|0|100|B
20200317|AVUS|0|0|405|B
20200318|AVUS|600|0|600|B
20200319|AVUS|2392|0|3892|B
20200320|AVUS|500|0|1700|B
20200323|AVUS|400|0|400|B
20200324|AVUS|400|0|500|B
20200325|AVUS|600|0|600|B
20200326|AVUS|600|0|700|B
20200327|AVUS|300|0|300|B
20200403|AVUS|0|0|300|B
20200416|AVUS|214|0|714|B
20200423|AVUS|100|0|100|B
20200424|AVUS|200|0|200|B
20200427|AVUS|500|0|500|B
20200511|AVUS|100|0|100|B
20200512|AVUS|100|0|2440|B
20200513|AVUS|300|0|400|B
20200515|AVUS|200|0|200|B
20200519|AVUS|100|0|100|B
20200520|AVUS|100|0|100|B
20200521|AVUS|0|0|200|B
20200522|AVUS|150|0|150|B
20200528|AVUS|2500|0|2900|B
20200602|AVUS|100|0|200|B
20200609|AVUS|100|0|100|B
20200615|AVUS|0|0|200|B
20200616|AVUS|100|0|200|B
20200618|AVUS|0|0|100|B
20200623|AVUS|600|0|600|B
20200721|AVUS|400|0|400|B
20200812|AVUS|200|0|200|B
20200904|AVUS|300|0|400|B
20200914|AVUS|100|0|100|B
20200916|AVUS|100|0|100|B
20201008|AVUS|600|0|600|B
